entry,glucose,lb,glycerol + aa,acetate,fumarate,glucosamine,glycerol,pyruvate,chemostat µ=0.5,chemostat µ=0.35,chemostat µ=0.20,chemostat µ=0.12,stationary phase 1 day,stationary phase 3 days,osmotic-stress glucose,42°c glucose,ph6 glucose,xylose,mannose,galactose ,succinate,fructose
P24215,8.48,4.18,6.63,5.39,3.95,19.18,10.93,22.14,5.67,5.45,4.12,1.7,25.94,5.02,14.78,9,3.3,24.6,6.53,7.82,5.66,6.18
P02924,39.04,13.64,17.87,18.97,3.09,10.59,23.33,5.47,7.3,5.79,2.86,11.15,26.05,17.39,15.49,37.17,12.48,86.89,4.98,35.51,19.79,28.56
P69811,4.15,7.65,1.45,12.72,5.84,10.49,3.95,21,7.04,2.51,1.36,5.38,27.12,24.41,3.14,59,7.77,23.22,4.82,6.47,18.23,2.41
P69831,35.72,3.77,25.68,10.38,9.09,12.96,15.01,42.07,10.59,3.93,10.33,6.29,23.24,20.77,24.66,34.34,16.19,13.77,19.9,33.31,15.25,19.31
P0AE12,25.44,7.35,9.74,16.68,8.23,5.83,12.81,15.21,13.47,3.58,6.29,1.8,20.74,1.58,17,21.64,9.03,5.11,13.32,12.63,10,8.35
P60560,10.86,5.61,7.53,0.84,5.68,6.17,0.84,12.11,11.42,0.75,3.62,4.08,11.6,10.58,16.62,9.97,3.94,9.54,5.83,3.33,2.69,6.3
P0AG16,9.19,3.5,16.61,9.39,11.61,6.38,9.59,9,6.1,2.21,3.26,3.5,26.99,3.78,15.71,33.7,4.85,7.31,4.56,17.62,6,5.78
P07024,17.76,5.29,2.2,3.84,5.91,2.52,10.82,9.13,1.68,3.57,5.39,6.53,6.17,3.29,10.58,11.39,8.31,10.16,3.03,16.88,7.33,8.29
P0A6C8,13.9,4.84,7.28,3.7,4.11,5.14,2.92,6.7,0.47,3.37,7.65,9.44,13.67,3.31,5.16,12.2,4.9,3,4.93,5.21,3.27,3.45
P05194,11.35,3.11,3.25,9.49,5.97,2.54,5.87,13.03,1.7,3.63,3.3,4.83,9.78,4.15,6.19,11.82,5.16,6.71,1.22,3.34,4.45,4.05
P09053,3.42,6.14,13.64,9.52,6.8,7.32,6.04,5.84,12.23,5.75,9.11,8.89,19.39,38.45,6.8,19,5.37,15.64,1.35,15.95,7.02,11.08
P00935,21.42,8.13,22.45,7.54,13.87,10.32,6.59,10.64,3.68,8.2,4.91,3.44,19.44,15.75,28.94,13.3,3.07,23.82,10.64,10.16,11.56,4.84
P06721,16.45,13.65,12.47,11.64,22.4,6.42,17.51,21.16,14.59,1.93,19.92,11.64,12.7,29.64,28.94,38.85,0.72,14.3,4.04,7.7,16.05,5.09
P16456,2.7,4.44,4.52,2.99,1.61,2.28,5.38,5.94,3.69,7.34,1.46,3.88,8.45,0.74,8.24,4.27,3.71,4.52,2.94,8.65,8.53,2.59
P21156,19.24,4.49,13.35,12.04,6.42,7.21,1.25,9.46,8.29,11.25,7.01,2.74,23.38,18.88,15.17,18.18,5.88,13.26,13.73,13.32,6.76,14.99
P17854,15.37,6.46,4.73,13.28,3.17,0.69,2.39,9.06,5.88,5.7,6.05,6.28,16.24,20.56,13.94,27.04,7.63,2.69,2.6,10.07,5.23,0.58
P0A6C5,25.31,1.46,12.23,19.94,7.17,8.28,6.12,24.27,7.6,5.74,3.71,13.85,33.33,14.53,10.77,19.25,16.09,5.65,7.37,47.34,10.01,5.83
P06987,2.11,5.55,5.36,8.62,2.06,9.89,6.93,7.66,9.94,7.02,2.21,0.52,23.96,5.27,17.07,7.89,6.15,7.98,5.77,11.99,12.91,9.31
P07003,54.94,8.16,14.77,4.41,7.33,5.89,10.31,13.7,13.31,7.82,10.39,3.04,5.74,14.99,21.99,8.81,10.57,11.07,4.64,7.99,35.99,7.34
P09394,19.71,7.74,7.22,11.99,5.96,19.51,4.02,15.75,8.17,5.97,14.71,8.02,20.62,26.09,3.88,49.09,26.38,10.53,22.62,15.94,17.29,13.05
P0ABA4,5.61,2.87,3.32,13.69,2.22,5.67,0.41,3.34,11.5,1.56,6.29,11.91,4.34,3.7,8.4,2.26,5.1,3.6,10.5,6,5.17,6.47
P25437,9.65,33.48,13.09,7.96,17.21,16.21,6.62,4.85,6.61,6.33,1.81,6.95,45.13,2.29,6.13,22.02,7.88,4.98,16.41,4.38,16.62,6.13
P38489,2.31,4.88,4.59,3.15,6.54,3.09,1.03,10.97,3.88,1.34,5.08,6.33,5.83,18.71,15.4,14.44,5.28,3.87,22.54,3.74,13.07,11
P37744,7.26,2.83,7.34,5.85,3.07,4.77,1.98,4.16,6.7,8.71,7.84,2.05,13.77,9.45,12.16,15.28,11.96,13.33,6.35,1.32,10.31,8.26
P0ABS1,8.35,6.7,9.44,14.64,2.22,20.54,4.87,8.04,3.88,2.53,8.35,5.56,6.07,3.04,14.22,14.2,2.2,11.84,3.31,2.8,7.72,7.21
P45577,8.24,2.07,4.56,13.01,9.65,9.68,4.21,6.45,3.74,0.8,3.24,3.71,6.67,13.53,9.83,13.47,6.21,4.31,1.23,8.17,3.67,6.22
P0A9Q1,9.71,2.74,4.13,3.5,0.94,3.89,1.44,7.88,2.78,4.9,1.83,3.07,2.09,9.76,0.64,13.42,2.6,6.79,4.83,7.63,13.42,3.05
P0AG20,24.3,6.97,9.53,26.9,7.26,7.44,2.8,37.85,14.23,10.6,9.99,1.4,13.05,1.18,18.21,20.96,5.2,20.51,8.35,14.75,7.48,9.67
P37903,20.08,11.96,4.25,15.36,5.15,6.29,7.65,7.01,6.84,3.03,7.96,7.32,8.42,7.69,14.22,21.72,7.86,5.01,11.83,1.38,7.31,8.46
P39177,21.36,10.18,1,5.4,9.17,8.77,5.66,9.17,20.55,7.85,6.13,14.21,5.86,6.43,6.39,11.86,15.19,10.26,6.73,2.81,18.17,15.21
P0ADW3,7.78,1.82,8.54,4.91,4.41,4.53,5.07,8.48,1.03,1.69,2.4,5.09,29.2,19.45,8.55,5.14,4.93,8.45,9.52,3.93,6.94,7.31
P0ADN2,12.27,2.57,3.75,4.76,8.53,9.21,1.15,5.59,3.31,11.91,7.33,1.61,5.28,1.9,3.35,8.85,5.05,4.8,2.14,8.26,1.44,6.96
P77774,6.69,12.13,2.64,6.26,10.25,1.87,3.8,11.56,6.49,12.07,21.08,3.99,2.37,8.67,7.74,12.69,6.14,11.14,2.8,6.43,1.04,2.17
P76113,66.98,6.07,2,5.83,14.65,12.65,13.45,11.01,15.96,2.77,8.07,10.41,4.13,6.19,5.96,6.97,6.54,11.19,1.93,12.84,23.78,5.41
P25519,16.82,4.17,7.24,11.48,9.49,1.35,4.06,14.07,14.44,3.88,11.11,3.47,9.56,24.13,15.63,25.84,11.85,9.98,6.96,13.73,16.36,9.51
P0ACF8,4.68,5.59,11.68,12.72,7.93,4.26,8.13,7.47,8.34,8.95,5.79,7.01,13.45,6.52,17.28,14.12,15.08,20.43,17.07,7.02,5.7,19.14
P0ACG1,11.49,1.91,4.82,7.42,7.66,2.32,0.44,15.17,5.2,2.45,7.69,11.82,9.57,3.22,7.77,12.34,2.34,8.94,5.7,8.46,12.3,9.87
P39831,5.35,7.35,9.45,7.03,4.23,4.44,3.2,10.97,7.4,2.92,13.36,0.97,5.9,4.7,10.63,5.23,10.54,7.3,8.23,5.37,1.03,0.69
P0AC02,9.19,3.94,9.19,7.16,2.1,4.98,6.07,16.52,4.83,4.72,1.58,3.13,10.89,4.19,34.65,16.54,10.62,2.27,8.91,7.5,3.46,1.68
P39286,9.46,3.82,15.98,6.37,2.57,10.17,9.14,11.58,3.23,6.6,8.98,2.57,11.89,7.51,17.31,24.76,7.35,5.76,4.7,6.9,8.98,2.19
P77247,6.25,2.9,5.26,5.03,7.73,15.78,1.91,3.68,1.2,7.46,5.45,3,17.36,10.72,8.73,7.68,10.6,7.97,13.98,8.77,11.56,2.28
P76536,5.65,4.65,16.7,5.48,6.43,9.73,4.52,14.23,6.53,4.24,6.09,11.26,11.85,3.02,3.06,13.21,15.05,5.99,14.37,1.66,9.06,10.15
P22255,25.66,3.73,1.27,5,7.35,5.22,5.12,9.38,8.63,2,2.31,1.84,5.72,8.6,8.83,8.05,12.6,26.98,8.46,10.84,15.84,4.07
P0A9K7,16.51,4.31,7.2,2.19,5.4,2.29,15.27,5.33,8,11.85,4.43,17.04,6.87,3.32,6.84,7.82,9.5,5.39,7.3,5.91,6.83,9.25
P13024,12.65,19.31,8.45,7.57,13.79,9.6,19.56,6.35,9.46,16.24,0.91,5.43,44.87,44.24,10.57,9.42,1.26,32.94,24.86,29.98,15.84,12.7
P27249,4.99,0.88,3.95,18.04,15.46,8.42,5.55,16.42,2.99,8.4,8.86,2.45,19.27,1.86,9.37,5.8,2.74,11.46,5.04,6.59,4.82,1.95
P0AC59,13.39,6.17,6.31,4.01,5.13,2.92,5.74,9.71,11.69,4.51,7.81,1.76,20.07,7.9,11.16,8.27,10.17,7.87,13.03,6.8,7.77,6.41
P0AFL3,13.96,14.6,4.72,13.11,1.8,11.37,7.19,11.44,3.25,5.82,3.18,1.23,2.79,7.41,6.6,11.84,11.33,12.43,8.21,4.74,15.15,8.09
P0A862,11.42,3.99,4.99,16.75,6.13,7.87,3.84,7.74,2.08,2.03,6.57,2.09,8.47,3.62,14.75,5.94,2.73,6.15,10.65,6.36,2.94,7.13
Q46845,22.24,1.43,4.86,5.77,4.8,3.31,5.66,9.67,8.23,9.89,2.11,6.06,7.65,9.8,6.1,8.97,1.79,3.22,4.52,7.18,12.98,6.85
P0AG14,12.76,1.04,3.7,8.37,7.54,13.66,5.15,18.25,4.88,2.04,12.9,7.73,25.39,2.69,17.25,2.12,5.93,9.67,10.8,8.57,12.38,17.35
P0A6J8,15.13,8.19,7.13,7.43,7.58,3.54,6.04,11.76,8.99,7.41,2.77,2.59,19.88,3.87,3.91,14.81,11.47,10.24,25.17,16.74,22.44,5.95
P37636,12.03,12.04,27.64,24.97,20.24,52.01,8.21,3.13,27.38,31.83,23.51,13.09,7.06,9.83,24.03,38.22,12.98,18.51,11.05,12.03,19.67,9.57
P36767,7.51,11.61,3.88,9.38,5.27,13.39,8.51,8.21,3.75,16.75,2.73,12.46,11.26,3.33,20.35,26.16,8.17,17.22,5.5,8.4,14.61,8.57
P0A6X7,7.41,4.84,9.49,8.52,6.02,7.94,7.13,8.36,2.01,2.8,10.74,1.94,16.07,7.02,3.12,23.68,9.55,4.19,3.94,5.85,4.25,3
P0A9F3,8.53,11.76,6.46,15.1,9.85,30.57,5.98,19.53,8.23,3.5,9.69,8.83,41.83,30.55,26.02,14.53,21.13,13.98,10.82,20.01,4.29,5.52
P76268,5.17,7.07,5.86,9.26,11.14,3.65,1.61,4.56,4.34,1.67,7,3.53,42.01,16,12.45,29.92,10.75,6.33,10.42,1.72,6.42,5.53
P0ACJ0,8.01,3.33,4.44,19.17,9.62,13.07,2.75,8.9,6.23,8.18,7.82,1.38,1.28,6.16,11.87,13.29,3.67,3.6,1.62,3.69,8.7,10.26
P0A7J7,12.28,5.77,2.12,2.84,7.64,9.73,5.52,11.33,9.4,5.17,7.03,9.87,10.67,3.46,11.57,9.01,2.01,7.24,5.12,14.87,7.15,8.56
P68919,15.68,4.33,8.93,8.2,8.66,9.99,8.5,8.39,10.34,1.82,8.47,7.56,3.48,2.93,3.08,4.4,9.27,2.24,3.08,5.62,4.49,10.89
P0A7X3,16.8,3.89,4.63,7.19,5.49,6.6,6.68,8.57,6.18,3.2,4.82,3.31,14.21,1.48,3.7,12.3,2.06,9.83,5.9,9.29,1.24,1.98
P0A9Q5,7.77,4.74,4.64,5.01,5.08,6.16,8.32,7.56,1.49,3.45,7.91,5.5,7.85,19.75,13.35,9.78,6.67,25.52,6.37,22.67,4.18,17.63
P10384,13.05,5.18,5.26,15.01,4.35,12.07,3.21,11.04,17.27,7.73,4.91,2.69,32.84,6.89,19.68,20.57,10.31,4.03,6.44,10.43,20.5,7.14
P0A8K1,7.92,12.81,5.28,11.7,8.01,4.6,4.9,6.8,3.07,3.92,1.03,7.99,11.5,5.18,7.35,13.98,8.81,17.61,7.79,6.98,5.45,11.18
P69451,11.07,10.35,12.97,5.71,10.41,23.05,23.25,15.01,10.94,1.96,9.18,5.41,4.7,11.92,21.15,69.15,19,4.15,11.1,11.53,14.45,32.1
P0AG84,77.48,10.64,13.22,13.94,8.05,14.73,6.12,7.85,27.87,4.92,8.3,10.05,12.97,4.82,12.3,4.47,5.2,9.76,14.37,19.09,32.26,23.48
P0AEZ9,7.39,3.61,8.86,11.17,2.86,4.59,5.61,7.31,14.7,2.28,1.25,2.38,6.02,17.63,14.19,14.36,9.52,21.03,5.83,8.26,2.34,5.89
P0AAB4,20.27,12.4,19.39,19.35,5.59,7.15,3.05,29.78,11.62,6.52,12.26,2.7,0.52,13.48,17.73,6.16,1.47,6.44,21.53,18.54,8.45,6.96
P0A759,9.83,6.22,10.55,5.55,1.08,7.13,4.95,9.05,6.82,0.17,5.44,4.46,5.16,11.08,20.35,12.15,12.66,11.42,5.69,39,20.85,2.06
P0A8G3,4.88,7.26,4.1,9.28,6.1,6.7,5.83,19.27,3.27,8.4,15.56,1.41,2.82,23.35,39.04,13.42,8.96,5.52,4.34,5.66,14.65,3.45
P37349,11.34,4.94,9.03,17.6,4.6,6.39,6.16,17.66,7.63,10.4,3.48,9.13,24.4,6.82,2.32,11.95,5.24,8.18,2.84,3.88,5.6,14.77
P69805,20.71,2.55,4.69,11.54,8.53,2.35,11.02,33.9,7.71,7.02,8.04,2.01,4.8,14.78,33.62,15.46,1.38,2.06,6.46,18.07,13.37,15.6
P39325,41.64,22.53,12.22,12.48,19.96,15.32,0.56,7.34,12.37,3.7,8.29,10.79,1.06,11.52,4.66,47.67,29.04,2.39,7.3,15.17,30.97,12.03
P37051,1.6,4.39,10.22,8.39,8.87,1.03,5.42,16.86,10.24,6.39,9.34,2.26,21.69,11.42,24.66,12.13,5.8,3.62,7.21,10.87,4.82,9.85
P08331,10.51,3.52,5.68,3.22,7.77,3.23,1.83,7.85,1.98,6.1,10.98,5.68,8.98,21.7,25.74,24.46,6.26,22.61,9.02,10.51,14.09,3
P11446,13.78,3.74,11.39,5.17,13.52,6.35,8.07,4.67,6.37,1.55,4,1.95,14.22,14,16.62,16.29,11.53,1.31,4.43,9.43,6.34,12.29
P16703,11.02,6.36,4.89,3.56,2.98,7.54,3.41,11.93,4.53,4.27,8.48,5.84,11.26,4.29,5.33,16.78,12.4,1.74,5.08,10.22,3.69,5.22
P29745,21.95,0.68,11.54,6.69,7.31,5.08,5.62,7.76,15.49,4.65,11.28,6.44,6.57,6.79,13.69,16.44,1.87,5.83,9.47,10.87,14.87,7.33
P0A821,22.64,6.8,6.01,12.61,0.71,11.38,7.25,16.64,4.37,7.04,9.69,4.97,0.83,8.03,30.57,16.05,6.56,14.99,5.76,20.43,13.67,14.87
P30177,4.98,2.94,9.68,3.93,11.01,6.88,5.05,34.12,4.63,2.18,6.69,7.15,9.32,4.45,14.38,5.2,4.52,17.76,7.89,3.78,14.13,5.25
P0A6L2,0.55,7.24,8.41,10.33,11.22,8.25,9.65,18.01,9.01,7.83,13.85,4.7,12.17,7.41,6.99,10.12,5.29,6.92,6.99,8.17,3.11,4.1
P37313,76.11,24.52,10.79,2.66,3.93,12.68,3.83,5.52,5.25,8.27,2.23,5.59,39.2,20.5,16.61,12.24,4.4,8.7,5.59,4.73,7.57,2.69
P0AES0,9.1,3.82,3.57,12.16,13.04,3.95,5.91,4.77,6.13,11.13,15.72,15.08,19.92,15.26,19.51,15.82,10.59,10.4,9.42,14.37,2.23,8.7
P77444,36.71,7.15,8.02,15.94,6.76,22.47,19.33,13.86,9.67,2.75,4.26,13.19,18.29,12.38,3.87,21.47,2.84,18.33,3.27,10.73,0.32,7.81
P00909,21.86,7.07,7.09,4.85,12.15,4.36,5.15,5.4,11.53,4.77,6.39,4.48,29.83,17.24,10.5,10.04,9.37,7.96,7.69,5.03,4.36,5.81
P0AAG0,22.43,2.26,1.57,12.93,3.34,1.15,7.56,12.75,9.87,5.12,5.7,8.86,58.34,9.09,11.47,15.61,2.7,14.31,4.57,5.18,5.81,5.07
P0AFD1,8.76,0.75,3.09,7.91,10.23,8.14,6.39,8.7,17.9,1.17,6.33,5.16,24.89,26.51,9.77,20.01,4.17,16.33,9.41,3.73,4.66,8.86
P30178,10.97,2.56,8.15,7.31,6.9,16.77,17.83,7.59,3.53,7.42,16.11,4.49,39.08,10.73,5.71,40.82,6.71,11.8,4.31,12.31,14.22,7.35
P25906,32.44,8.27,12.69,6.46,8.64,14.1,4.31,7.49,4.54,13.65,7.19,12.32,5.03,8.32,22.98,8.7,21.9,17.14,12.33,8.26,25.08,5.32
P0ABA0,8.59,1.51,8.45,3.86,11.29,5.88,3.82,8.36,5.15,8.59,6.68,2.34,13.68,9.6,7.24,11.32,3.02,8.48,2.14,5.13,8.92,7.14
P24232,10.77,10.08,19.85,9.44,16.31,23.47,4.34,31.14,10.15,8.54,15.08,9.06,35.54,21.87,16.97,6.18,6.32,31.68,8.49,4.47,33.13,9.81
P28304,57.64,2.78,8.45,7.19,8.7,3.47,5.76,4.01,7.13,3.21,5.33,2.33,15.87,6.62,5.14,15.62,7.14,13.39,5.21,12.97,15.37,9.74
P25714,21.5,4.7,19.68,19.58,9.82,5.07,17.75,24.94,9.85,3.07,7.72,1.32,12.65,8.53,43.41,13.07,20.77,6.75,23.26,15.29,14.31,6.22
P0AED0,39.64,4.31,5.11,9.2,25.6,16.18,3.51,18.11,7.45,11.35,15.74,1.62,25.69,3.37,27.55,40.54,31.38,7.09,5.69,7.88,19.99,21.64
P0AF28,5.18,7.54,6.48,5.72,6.72,5.44,7.5,0.96,8.83,10.35,8.14,9.37,7.19,13.84,23.02,35.19,5.28,8.85,12.7,5.9,10.47,3.66
P0A8I3,12.89,1.62,7.53,2.93,16.27,2.32,7.79,4.57,4.61,5.63,7.39,9.95,33.6,21.85,18.39,7.02,11.29,3.46,5.62,5.85,3.7,7.29
P0A8E7,12.91,3.08,4,10.21,7.8,9.63,5.48,8.62,6.37,5.04,2.11,6.23,7.42,3.01,10.87,3.27,3.61,5.48,2.64,9.98,4.06,1.05
P0A8B5,10.56,2.84,7.11,7.38,1.62,4.13,2.5,8.59,1.6,5.36,6.86,8.5,7.23,6.52,14.08,17.2,1.67,6.85,4,1.66,10.92,9
P76097,55.82,13.87,9.41,17.84,14.13,10.66,31.22,17.24,9.36,21.29,6.8,15.69,24.5,27.98,5.81,54.17,44.79,17,37.9,10.47,32.71,24.49
P43672,17.95,7.5,17.45,13.78,14.19,13.72,5.59,16.76,14.57,12.98,6.48,4.21,26.52,21.13,29.14,23.88,13.59,8.72,15.01,16.26,5.15,10.57
P33920,13.88,6.92,4.28,16.97,13.31,6.14,9.09,3.24,4.89,10.55,3.64,5.39,6.45,1.24,24.17,7.13,0.29,6.28,13.53,5.5,6.55,6.83
P0ADR8,11.44,7.74,13.17,15.29,6.02,22.22,2.25,19.92,5.92,2.09,10.3,8.69,31.18,11.95,28.52,14,13.01,9.94,15.96,23.22,8.55,17.93
P0A894,3.87,1.85,15.6,15.67,3.92,9.15,3.4,9.1,7.45,1.63,6.95,3.1,3.38,11.02,28.13,7.78,12.51,10.83,8.61,4.28,14.22,9.47
P46853,13.33,10.84,9.85,10.11,7.32,10.19,6.17,8.02,10.48,8.85,5.89,5.61,8.36,14.5,9.47,35.15,8.06,16.45,11.99,4.66,2.62,15.39
P31658,36.95,10.61,13.75,9.48,5.37,2.58,5.29,17.97,20.7,4.81,5.21,6.52,15.54,23.43,8.45,6.84,12.07,21.49,7.47,5.5,22.58,7.7
P0A9V1,2.29,5.32,7.72,4.9,7.79,8.58,4.4,9.32,13.88,5.75,7.84,10.98,4.07,11.87,4.06,14.79,2.98,17.18,4.63,13.12,4.15,3.46
P33940,24.71,8.02,9.06,17.58,66.62,29.8,41.89,7.96,27.75,9.04,34.1,25.87,55.69,31.28,20.77,15.42,22.24,12.32,17.13,42.6,26.82,14.05
P67087,2.21,3.27,20.61,13.98,7.41,3.77,6.86,4.68,5.56,5.95,5.62,7.7,6.9,12.49,9.28,35.44,3.34,7.61,7.98,8.9,7.12,5.38
P21367,61.49,7.03,3.29,3.37,13.34,0.9,5.85,11.3,11.61,8.77,2.98,1.1,20.69,8.12,7.13,10.05,10.01,11.7,4.94,26.34,35.59,5.94
P04846,12.84,1.95,8.71,18.3,5.78,5.38,7.07,3.78,6.59,5.67,6.87,7.29,7.83,11.66,16.74,4.66,20.55,5.47,4.81,14.19,7.79,8.73
P31142,6.53,4.78,11.27,2.84,5.37,5.67,1.6,9.27,2.88,5.03,7.66,2.57,34.96,3.56,5.42,5.91,3.67,11.59,9.01,11.93,1.96,2.94
P77318,49.98,29.44,2.28,15.84,12.02,9.65,11.25,3.72,7.19,9.64,12.07,6.39,30.27,30.04,149.78,21.02,37.49,12.82,5.13,43.72,8.11,31.66
P0AG82,18.9,3.25,4.45,2.05,6.34,12.17,2.31,13.56,17.95,6.66,4.36,5.68,23.25,4.32,6.02,26.21,1.65,5.71,7.11,6.23,8.52,16.41
P07821,,,,,,,,,,,,,,,,,,,,,,
P06610,19.28,5.9,4.55,3.52,7.24,3.76,3.36,15.59,11.65,0.72,5.5,2.99,22.37,2.75,9.7,5.8,5.97,8.21,3.81,8.7,19.36,3.13
P0AEG6,4.67,9.38,11.08,45.86,21.6,12.26,11.53,30.62,9.18,4.45,23.26,2.9,8.41,4.19,34.42,30.21,13.3,10.81,11.5,4.69,5.57,10.62
P0AEG4,4.14,0.74,11,9.99,7.98,7.26,10.77,14.38,6.69,2.96,7.3,6.33,3.44,4.48,6.31,4.92,15.88,1.93,13.32,5.73,3.81,4.46
P77522,3.83,13.1,6.58,9.95,8.85,20.49,9.33,5.98,0.3,7.68,0.9,10.89,21.2,13.01,5.47,11.2,7.22,16.3,0.55,3.34,2.28,11.07
P77499,4.32,4.94,8.84,3,6.16,4.11,3.07,12.91,10.92,8.99,5.95,8.2,14.86,6.3,15.74,11.35,11.06,8.43,9.07,18.68,16.63,9.08
P0ACA7,13.92,7.92,10.11,10.43,26.44,21.45,6.74,8.95,11.98,15.1,12.69,4.99,23.96,17.99,18.23,52.65,18.38,26.08,14.52,2.7,13.25,13.14
P0A9D2,18,3.3,10.81,12.53,8.85,4.21,6.25,11.65,17.51,6.47,0.49,2.08,6.1,12.82,9.56,15.37,10.08,19.95,8.95,6.94,12.65,9.78
P04949,21.04,53.9,16.67,31.37,45.86,22.79,33.5,22.83,28.92,17.76,11.74,7.66,20.87,45.35,47.96,40.1,76.35,22.98,35.46,59.87,137.53,73.81
P69776,19.23,2.6,22.35,8.48,10.29,15.02,9.41,26.32,12.35,6.32,5.62,13.59,9.38,10.88,13.68,14.51,4.37,16.3,3.14,13.95,2.85,4
P02919,28.38,10.44,16.89,27.02,18.63,4.76,22.45,59.7,16.16,4.13,9.94,5.09,59.68,19.01,33,26.29,12.78,7.57,6.36,14.64,15.79,8.57
P17952,0.53,3.42,8.45,4.36,3.18,8.66,6.21,8.18,3,6.4,7.62,6.18,12.6,3.29,5.11,9.3,7.64,4.94,7.4,5.99,6.43,23.33
P11880,7.95,3.31,12.8,7.9,9.4,10.44,5.1,11.77,15.38,9.43,15.01,8.45,4.94,17.04,7.27,8.59,11.37,8.76,8.3,10.31,8.36,10.49
P0A912,9.61,2.42,6.6,3.76,7.59,3.5,4.36,8.55,4.38,0.36,4.41,1.17,2.18,5.6,13.71,10.86,3.38,10.98,2.93,3.39,17.61,9.43
P60390,6.98,6.01,15.32,5.19,5.01,3.89,2.1,13.85,2,14.67,6.79,2.28,18.31,5.01,13.22,10.62,6.56,17.15,6.76,12.53,4.37,6.58
P0ACB0,10.4,9.84,7.23,16.66,6.43,5.7,2.3,9.21,10.14,22.5,27.22,12.64,15.01,4.86,0.48,19.13,7.05,6,4.18,3.72,4.49,3.6
P43329,25.27,5.59,6,11.85,19.19,11.96,7.59,36.37,10.04,3.99,7.64,7.42,13.34,5.02,33.47,11.82,11.64,13.01,16.86,26.37,15.72,18.48
P09030,7.83,8.78,1.25,8.38,5.31,7.08,4.37,4.23,1.44,6.2,3.36,7.66,7.7,4.38,14.49,10.79,7.3,8.74,9.16,7.56,9.13,3.49
P0AF20,7.79,9.06,24.3,10.13,10.44,3.98,5.3,18.04,1.8,5.32,4.36,6.58,7.62,10.53,56.33,30.83,9.16,6.16,3.46,25.26,7.89,15.9
P0A7C2,9.42,7.3,7.55,7.79,4.82,6.38,5.89,9.29,7.56,1.38,5.97,8.49,21.29,19.12,6.93,17.7,10.12,5.82,20.73,2.84,6.38,5.06
P0AFM6,10.78,13.22,5.63,10.13,15.93,10.94,13.34,49.05,11.6,10.01,22.8,11.76,16.81,10.9,6.01,9.42,3.53,20.44,15.59,17.42,12.28,5.26
P23882,4.58,6.42,20.14,5.97,8.72,7.84,12.56,24.13,3.59,18.16,11.02,7.97,13.77,12.69,4.8,30.34,15.87,11.19,11.64,8.86,10.03,6.79
P60723,9.13,4.65,1.31,3.82,6.88,7.78,9.1,8.58,5.42,5.79,1.84,9.43,9.22,5.25,7.07,4.92,9.49,2.63,6.26,8.47,5.46,2.79
P0ADY3,16.95,2.85,8.52,11.46,6.18,14.67,5.53,18.2,10.61,5.37,7.32,8.06,21.38,26.89,9.99,10.33,8.48,7.63,15.19,10.33,10.26,6.38
P0AG44,17.71,5.31,3.77,4.63,0.6,5.3,8.42,6.55,1.7,2.25,3.89,1.98,6.68,9.79,4.92,9.87,9.05,8.33,9.58,2.38,4.74,3.79
P60624,14.33,3.38,5.53,8.1,2.22,4.79,1.85,6.02,0.24,2.91,6,2.94,6.03,5.66,6.28,11.22,3,6.42,2.53,2.61,4.03,2.86
P0A7R5,18.06,2.31,3.25,4.05,3.56,4.46,5.12,3.97,2.78,3.92,7.87,6.56,4.48,8.34,6.13,9.5,5.54,4.3,2.57,12.67,10.53,3.35
P0A7S9,18.05,1.49,3.28,5.35,5.3,10.92,6.74,29.78,7.97,1.66,8.02,0.84,3.43,3.47,10.63,8.72,15.33,10.16,2.52,23.15,3.77,0.93
P0AEI4,20.78,7.01,3.29,6.27,5.13,13.78,2.42,6.92,1.39,7.06,5.31,7.97,38.63,38.8,12.33,5.78,10.56,19.39,6.75,16.84,10.4,6.15
P21151,32.19,8.49,9.78,10.76,6.37,8.41,5.7,12.73,15.1,1.59,5.21,0.67,7.26,1.34,5.04,20.29,32.82,5.06,2.07,10.65,15.51,12.35
P0AET8,46.24,11.06,2.91,7.96,7.76,8.1,7.23,4.89,10.12,2.97,3.32,7.49,16,9.55,12.64,16.16,7.18,5.56,9.93,2.43,8.06,7.64
P76503,30.8,35.84,8.73,11.43,13.22,18.13,12.2,14.41,9.74,1.23,8.79,2.89,26.15,23.54,28.47,35.64,55.73,10.77,11.53,15.27,17.16,9.77
P77399,16.17,14.29,50.03,8.78,28.97,28.53,34.25,31.87,52.89,72.45,44.21,8.25,43.11,9.77,5.89,42.89,5.36,15.74,34.7,23.43,22.28,8.01
P06983,8.31,6.14,15.21,6.77,5.54,2.57,12.12,8.84,9.82,3.36,9.06,7.92,21.02,19.22,42.41,8.85,5.44,13.87,6.67,13.61,5.11,5.69
P0ACB7,21.93,3.88,5.65,11.61,7.01,1.95,5.14,12.2,1.34,4.14,8.38,3.93,25.92,3.47,2.69,16.4,7.16,1.71,10.53,15.01,10.56,8.04
P11458,9.33,4.83,9.9,20.75,4.04,12.56,6.01,12.87,18.37,14.71,4.75,7.69,46.33,30.79,15.86,28.59,13.37,14.94,4.69,11.77,9.55,8.84
P24186,7.46,3.77,2.58,5.87,3.46,11.6,5.75,7.48,3.03,1.33,4.57,3.72,6.17,5.19,5.94,9.65,7.15,10.43,4.74,3.68,2.78,6.39
