reaction,pyruvate,glucose,glucose + glutamate,amino acids,glucose + amino acids
Edlt   ,0.003038,0.006681,0.01029,0.011757,0.014693
EtagGH ,0.003038,0.006681,0.01029,0.011757,0.014693
Eacc   ,0.003279,0.007211,0.010957,0.012519,0.015646
Es14   ,0.000013,0.000029,0.000045,0.000051,0.000064
Es16   ,0.000059,0.000129,0.000196,0.000224,0.00028
Es18   ,0.000022,0.000047,0.000072,0.000082,0.000103
Ee14   ,0.000006,0.000014,0.000021,0.000024,0.000031
Ee16   ,0.000027,0.00006,0.000091,0.000104,0.00013
Eo15   ,0.000113,0.000248,0.000377,0.00043,0.000538
Eo17   ,0.000045,0.000098,0.00015,0.000171,0.000214
Ea15   ,0.000191,0.000419,0.000637,0.000728,0.00091
Ea17   ,0.000106,0.000233,0.000353,0.000404,0.000505
EacpA  ,0.000008,0.000017,0,0,0
EacpS  ,0.000008,0.000017,0,0,0
EplsX  ,0.000287,0.00063,0.000971,0.001109,0.001387
EplsY  ,0.000287,0.00063,0.000971,0.001109,0.001387
EplsC  ,0.000287,0.00063,0.000971,0.001109,0.001387
EcdsA  ,0.000214,0.00047,0.000724,0.000827,0.001034
EpssA  ,0.000156,0.000343,0.000528,0.000603,0.000754
Epsd   ,0.000156,0.000343,0.000528,0.000603,0.000754
EpgsA  ,0.000058,0.000127,0.000196,0.000223,0.000279
EclsA  ,0.000001,0.000003,0.000004,0.000005,0.000006
EdagK  ,0,0,0,0,0
EugtP1 ,0.000073,0.000161,0.000247,0.000282,0.000353
EugtP2 ,0.000049,0.000108,0.000166,0.00019,0.000237
EugtP3 ,0.000018,0.00004,0.000062,0.000071,0.000089
