,galactose,acetate,pyruvate,glycerol,fructose,succinate,glucose
b2155,3.02555369133E-05,3.78568102335E-05,5.23792361995E-05,6.68049037235E-05,0.0001088368,6.2318225739E-05,0.000075268
b0243,9.35414355537E-05,0.000066939,7.17303095893E-05,8.08405325632E-05,8.09460622934E-05,7.13419109914E-05,7.46509345886E-05
b3388,6.5906256534E-05,0.000053639,5.74286165318E-05,5.79140879444E-05,5.58507393669E-05,4.97533932626E-05,7.45189302662E-05
b2533,3.94384138657E-05,4.65598427322E-05,4.39794607749E-05,0.000054574,5.53234574727E-05,4.70622470529E-05,7.43614620415E-05
b0525,7.10027820017E-05,6.08339439718E-05,0.000074428,0.000088697,9.1065535959E-05,7.6372424261E-05,7.41425911309E-05
b3390,3.59994236076E-05,3.79368911761E-05,4.16247417106E-05,4.55114294819E-05,5.16361379705E-05,4.95547337716E-05,7.30995201894E-05
b0199,6.90041285571E-05,4.55535428368E-05,0.00007955,7.8117448966E-05,8.6436434249E-05,0.000056452,7.29958524296E-05
b2041,0.000029773,4.87134078359E-05,4.43257049955E-05,5.37434648729E-05,6.16445632111E-05,5.29990933621E-05,7.25364306116E-05
b3052,7.20142097751E-05,4.73542165924E-05,7.26978251833E-05,7.20984780617E-05,7.15020745091E-05,6.63772566518E-05,7.25143286912E-05
b0575,6.51197547458E-05,9.32538294139E-05,6.40236388082E-05,9.88202125902E-05,0.0001503581,9.87513668974E-05,7.23783232059E-05
b0133,0.000073939,7.54659358079E-05,9.03377129029E-05,8.18431142273E-05,7.0676290253E-05,6.4180276922E-05,7.19836015192E-05
b0631,4.62003365516E-05,0.000068257,9.04797494274E-05,5.42868546397E-05,5.4456222746E-05,0.000054937,7.192214605E-05
b3311,0.0001706461,0.0001201268,0.0001159381,0.0001775956,0.0001674059,0.0001128676,7.1877313128E-05
b1765,6.33417910771E-05,0.00007284,7.57725282856E-05,7.81767811681E-05,0.000073243,6.97959147688E-05,7.15596464245E-05
b2512,6.74531177131E-05,6.01206724093E-05,9.35095479815E-05,0.000073877,6.42033941405E-05,6.56910646392E-05,7.14219236345E-05
b3234,0.0001057269,7.24844436907E-05,9.86627037432E-05,0.0001019036,7.68467143216E-05,8.30471633745E-05,0.000070722
b0329,0.0003377452,0.0001483404,8.19514277738E-05,0.0001350699,6.30436872045E-05,0.0001225983,7.06410994898E-05
b1262,5.37103373213E-05,3.614076607E-05,6.50505636344E-05,5.80671143955E-05,6.84369030413E-05,4.48754058905E-05,7.04885146299E-05
b1281,0.000046873,3.37677548222E-05,5.02856256062E-05,6.22239339911E-05,6.79196827933E-05,0.000064502,7.03441234573E-05
b3261,1.65711212038E-05,2.45843813144E-05,2.11509337957E-05,3.56461006267E-05,4.65538847302E-05,4.05357339897E-05,7.0153905147E-05
b3162,2.4791329547E-05,2.39462515341E-05,2.96244533738E-05,0.000042378,5.7436088887E-05,3.85574689036E-05,6.99576228701E-05
b2133,7.55931925729E-05,9.49376233991E-05,7.50722508316E-05,6.85898712846E-05,6.01653128666E-05,7.61103948021E-05,6.96256557482E-05
b0954,7.12203161693E-05,4.17968687041E-05,5.29603299693E-05,7.67287638069E-05,7.09751777693E-05,8.3666833801E-05,6.94865300329E-05
b1613,4.55252165181E-05,8.44689015942E-05,7.3289442187E-05,7.2470573951E-05,6.16536512963E-05,6.83074362759E-05,6.93774467387E-05
b0742,1.97778659373E-05,4.98063076986E-05,5.21252984769E-05,5.37455725967E-05,2.44098785852E-05,2.04313408848E-05,6.92618528749E-05
b2183,4.80274180813E-05,4.63127574455E-05,4.74333268703E-05,0.000061977,0.000065055,5.62426748197E-05,6.91938122202E-05
b3610,0.0001633322,9.4072245574E-05,9.7919130651E-05,0.0001074623,8.63331366601E-05,8.14198613189E-05,6.90478635834E-05
b1830,5.98097483957E-05,6.07215588142E-05,6.95771146031E-05,6.59268726761E-05,6.58829169255E-05,6.32465123714E-05,6.86667021477E-05
b3599,0.0001883087,0.0001208012,0.000074962,0.0001676897,0.0001171728,0.0001485882,6.86372607032E-05
b2463,0.0001851114,0.0002711069,0.0002085382,0.0001780925,0.0001744951,0.0002338674,6.84615867363E-05
b1783,0.0001950456,0.000112701,7.4184839899E-05,0.0001000561,6.88324617109E-05,8.04813353691E-05,6.84403967706E-05
b2526,3.39017822592E-05,3.86481175671E-05,4.06253522167E-05,5.31483380101E-05,5.30589155316E-05,4.14617893976E-05,6.82559419235E-05
b2595,4.00621012219E-05,3.88792521946E-05,7.84467090426E-05,5.75850749531E-05,5.48946595131E-05,4.88953054592E-05,6.76277077364E-05
b3253,0.0001117528,0.000076872,9.35796996736E-05,9.19687754604E-05,6.72520905843E-05,7.78976686243E-05,6.74641674887E-05
b2412,0.0001028923,9.86937386469E-05,0.000071687,8.57732187469E-05,8.47388135308E-05,9.40311891447E-05,6.73578825547E-05
b2962,0.000062997,3.86585053743E-05,5.86255990785E-05,5.82261858812E-05,6.33143723721E-05,4.87578163232E-05,6.68706613676E-05
b2959,0.0001040183,5.01988776648E-05,6.52841851302E-05,6.98562495858E-05,7.44981872908E-05,8.90941438078E-05,6.66525651315E-05
b3192,0.00008399,4.20062926456E-05,6.38884229356E-05,7.08081366608E-05,5.66626754994E-05,0.000063223,6.65480983117E-05
b2175,9.02632863778E-05,7.04300958498E-05,0.0001367861,9.65256786683E-05,8.64789079271E-05,0.0001456248,6.64361369565E-05
b2661,0.000155483,0.0001215176,0.0001433943,0.0001116258,7.71383695138E-05,9.27113265928E-05,6.58381160109E-05
b0884,3.92722858071E-05,3.45001459136E-05,3.46117586712E-05,3.81122902976E-05,4.20311790274E-05,4.17088000357E-05,0.000065702
b2893,2.12334862047E-05,2.66231170308E-05,5.52684339652E-05,3.05647788821E-05,2.7742217017E-05,0.000019807,6.44981583288E-05
b1033,6.25380509015E-05,5.62261994762E-05,6.02334973303E-05,6.67589491649E-05,6.44656263772E-05,6.7602159612E-05,6.3904351339E-05
b0406,2.52988500843E-05,3.44038985469E-05,3.01504103516E-05,3.89563345484E-05,3.79728418374E-05,4.22016636275E-05,6.38541194381E-05
b0578,3.06398462682E-05,3.72953577203E-05,4.79911914276E-05,5.23656551163E-05,0.000040223,3.67418257359E-05,6.36757308727E-05
b2036,2.91024097948E-05,5.70975606119E-05,4.54624838363E-05,5.33843375718E-05,4.90417563451E-05,4.80115039362E-05,6.3665186599E-05
b1431,0.0001739123,7.03220779821E-05,6.38014803225E-05,9.97750629795E-05,6.17576031024E-05,8.83611726057E-05,6.36088062624E-05
b3147,5.64142958363E-05,4.87131294174E-05,7.06072385829E-05,6.70322623253E-05,5.58102286004E-05,6.31525503044E-05,6.31697548023E-05
b2232,3.25275778627E-05,5.66276100183E-05,4.6455671933E-05,5.65707613517E-05,3.89355487944E-05,5.49911101493E-05,6.28027783624E-05
b2903,5.24983932194E-05,4.82176254444E-05,4.53812461779E-05,7.10282620124E-05,8.8730509394E-05,8.41738847399E-05,6.23256787734E-05
b3738,0.0001091128,5.10641470039E-05,0.0001927011,0.000121798,0.0001643626,0.0001715777,6.20246335088E-05
b1128,6.93493861754E-05,5.91227547792E-05,5.46029060187E-05,6.99434690736E-05,4.84864488868E-05,5.75503614846E-05,6.19066231316E-05
b4232,8.11958980845E-05,0.0001498056,0.0001800931,7.61956317178E-05,5.62675583105E-05,0.0001308378,6.16014939118E-05
b1919,5.46073665418E-05,4.90557865088E-05,4.90377897478E-05,5.27604927101E-05,4.34411421257E-05,4.5970468209E-05,0.000061461
b1274,5.03650815404E-05,4.37277897866E-05,0.000052821,0.00006289,0.000067818,6.40468308972E-05,6.1181216494E-05
b0675,5.50981119577E-05,4.18783733252E-05,5.71543849255E-05,5.32168997231E-05,5.8101106676E-05,5.66716531236E-05,0.000061008
b3713,8.99932795169E-05,0.0001190455,7.88966383714E-05,6.45758739863E-05,4.83025939431E-05,5.92101326285E-05,6.09091665806E-05
b2023,3.88957276171E-05,2.09221398965E-05,3.84875850096E-05,5.07302802261E-05,3.86245706401E-05,3.6265835704E-05,6.0433232268E-05
b0924,6.38765786148E-05,5.6550320626E-05,7.25914834932E-05,6.46860765918E-05,9.22694223946E-05,6.90457283626E-05,5.99316506935E-05
b2525,4.61712981041E-05,0.0000559,5.10837530688E-05,5.94239114507E-05,5.82193472961E-05,4.96897549972E-05,5.99076428586E-05
b0121,3.35975307251E-05,2.22386959068E-05,2.73998213955E-05,3.32890606755E-05,3.14501738929E-05,3.08910929705E-05,5.95426788565E-05
b2617,4.63768905358E-05,4.22426331669E-05,5.99726750939E-05,5.66323877407E-05,6.32698937595E-05,5.34625922518E-05,5.94032610253E-05
b2838,3.96784657105E-05,3.73115469049E-05,5.06738734505E-05,6.27091507587E-05,7.53549165608E-05,6.51771143274E-05,5.93615590812E-05
b1479,4.08403691338E-05,8.45833883646E-05,6.10513011294E-05,5.79474403136E-05,5.49692996999E-05,6.39838339432E-05,5.91574476282E-05
b1059,3.36192020026E-05,3.05971638172E-05,4.38475827478E-05,4.15987344861E-05,3.86132277715E-05,3.85510898031E-05,5.89322268034E-05
b3588,0.0003758128,0.000210784,0.0001539724,0.0001131809,0.000043573,0.0001296469,5.87188289553E-05
b1667,6.68368247728E-05,6.86709160154E-05,5.97362758405E-05,6.75272583668E-05,5.10838804145E-05,6.29412032599E-05,5.82491875466E-05
b3708,0.0001672197,0.0002781802,0.000094078,0.0001050887,6.27698758793E-05,0.0001776054,5.73413706906E-05
b4381,5.51134035729E-05,5.18907027378E-05,4.35734094588E-05,4.42261569386E-05,4.34307941537E-05,3.80188361807E-05,5.71075518245E-05
b0462,4.45254357535E-05,5.25657593252E-05,7.06787943782E-05,0.000065792,7.77802626871E-05,5.53315824144E-05,5.68000536323E-05
b2688,4.48493158906E-05,4.26634502267E-05,4.33893382492E-05,4.70603378091E-05,3.90564746808E-05,3.69854774001E-05,5.67641707929E-05
b3342,9.55349304049E-05,6.17173766214E-05,6.47448289381E-05,9.11437414433E-05,0.0001199543,7.29816482222E-05,5.65122474249E-05
b3300,3.83142925694E-05,0.000037385,6.12648840855E-05,0.000051879,6.11678073033E-05,5.26587839469E-05,5.59537217792E-05
b1658,4.51024950539E-05,4.56394218705E-05,6.07836753219E-05,4.89036243601E-05,4.90557787497E-05,5.4262555004E-05,5.5901864586E-05
b2186,5.25832824382E-05,3.97302489235E-05,4.35016477469E-05,4.79807508679E-05,5.48591930322E-05,5.71203750187E-05,0.0000558
b1109,3.93683796506E-05,2.4416279308E-05,5.34640776128E-05,4.00683562812E-05,9.10975216044E-05,3.80139304993E-05,5.55896971319E-05
b2329,5.46021369409E-05,4.43293626157E-05,5.02723451222E-05,5.14407392663E-05,5.14863651902E-05,5.15775317026E-05,5.53275095349E-05
b2908,9.52425038397E-05,7.56176323721E-05,7.53416762954E-05,7.02647909198E-05,5.15611619711E-05,7.00197949046E-05,5.44335610946E-05
b0584,2.03103332189E-05,2.34711507725E-05,3.49947564823E-05,2.84643049847E-05,3.33543947199E-05,3.23642966287E-05,5.4390348729E-05
b4051,0.0001670084,0.0001249283,7.92203692279E-05,8.37673605926E-05,5.34025491783E-05,6.98052165722E-05,5.43041792145E-05
b3940,3.33478201243E-05,3.53197334653E-05,3.06084131766E-05,3.62061359288E-05,5.89218699149E-05,3.0611089935E-05,5.40754688946E-05
b2320,5.31320901253E-05,3.44842440689E-05,5.17281762049E-05,5.09231266972E-05,5.98078028352E-05,5.45827343665E-05,0.000054037
b1723,8.20619412362E-05,5.71401290465E-05,0.000050922,5.22074407182E-05,6.35176060594E-05,7.32172736042E-05,5.39962753199E-05
b4255,4.43604687006E-05,6.92077086001E-05,5.04203218111E-05,4.80825756406E-05,5.42340748337E-05,4.42794194506E-05,5.36087926378E-05
b2495,3.57374398982E-05,3.12050842134E-05,4.79847965844E-05,4.21058412804E-05,5.14336070797E-05,3.960211768E-05,5.32832816484E-05
b2665,0.0002203934,0.0001077091,9.21487965363E-05,9.32407410571E-05,8.64039422847E-05,0.000095511,5.28396859121E-05
b3600,9.67716473619E-05,8.70455093879E-05,4.67754226717E-05,7.88987118068E-05,0.000051266,6.84821934364E-05,5.28286750698E-05
b2034,3.01746732549E-05,3.13267222502E-05,4.27334721609E-05,4.05680576278E-05,4.84253871904E-05,4.17037041585E-05,0.000052813
b4254,2.33464967329E-05,2.71356029075E-05,2.08834488907E-05,2.90625216943E-05,0.000029054,2.65214678016E-05,5.26205466532E-05
b1221,0.000064635,5.80728990925E-05,0.000050132,5.85757576408E-05,0.000043254,5.02971525484E-05,5.25467801432E-05
b1651,4.39296517521E-05,3.93192377385E-05,4.74958477955E-05,6.9272080939E-05,6.01076806476E-05,5.2170949157E-05,5.19831306497E-05
b3209,8.66292939898E-05,9.10332990139E-05,8.23656924709E-05,7.60791894945E-05,6.09572347191E-05,7.92496379096E-05,5.18842861608E-05
b2025,3.59446751021E-05,1.735186909E-05,3.42303888031E-05,4.54458464109E-05,3.64544951501E-05,3.08780590631E-05,5.18583343764E-05
b3189,3.60611057551E-05,3.46813960133E-05,4.82076307242E-05,5.48822001506E-05,4.10458067712E-05,0.000035893,5.16366485032E-05
b2422,4.24883410774E-05,5.0699822775E-05,8.00193039152E-05,6.47872807795E-05,5.86403946982E-05,6.46178738135E-05,5.13180970958E-05
b2299,4.03008477312E-05,4.72633812636E-05,4.7798880161E-05,4.67158416205E-05,3.516236087E-05,3.45637914804E-05,5.12382318526E-05
b1200,0.00006966,5.39531831844E-05,5.98895299208E-05,0.0001734295,4.17041467765E-05,5.05343287673E-05,5.10648037977E-05
b0220,4.60565235472E-05,5.12236109734E-05,4.52595888719E-05,3.45523053931E-05,2.66883026229E-05,3.44216026777E-05,5.09516144812E-05
b0526,4.86862949491E-05,3.16416241267E-05,4.10832883264E-05,3.79016657689E-05,5.07231438549E-05,3.44895911908E-05,0.000050899
b3865,5.35142996739E-05,3.63757346971E-05,4.50326935696E-05,0.000044864,4.1196590609E-05,5.02732956506E-05,0.000050849
b0905,1.10214085121E-05,1.30764408233E-05,1.5768659367E-05,2.28372644875E-05,2.8630675179E-05,2.5049605387E-05,5.08391082632E-05
b0660,4.41355461127E-05,4.17132676416E-05,4.00388949091E-05,4.96024562213E-05,4.57777214169E-05,4.14820919192E-05,5.07755247759E-05
b0408,4.65935182185E-05,4.3681321911E-05,6.51795180372E-05,0.00005361,6.99062177648E-05,6.11427940468E-05,5.07519484944E-05
b4129,3.30324955743E-05,3.38375275527E-05,0.000031922,4.34259062316E-05,4.07435184041E-05,3.34788348574E-05,5.05306324973E-05
b0599,3.04613687408E-05,3.94974002727E-05,2.86203317855E-05,4.89976085431E-05,4.17946217877E-05,3.79373350465E-05,5.03705921647E-05
b2679,2.30091932984E-05,2.21324768432E-05,2.9417161359E-05,2.15478966809E-05,0.000014312,3.05115645566E-05,5.01740704665E-05
b1283,5.24967032448E-05,9.83127795838E-05,3.53713250985E-05,3.05959218486E-05,2.44223778112E-05,2.23662234774E-05,5.01591368332E-05
b0015,3.98192530603E-05,4.44359387211E-05,4.87235567564E-05,5.80912360638E-05,4.22835554337E-05,4.79029397506E-05,5.01312276467E-05
b3175,3.23756894327E-05,2.71821383125E-05,4.24423383098E-05,4.30775084338E-05,4.49203688806E-05,3.93166280332E-05,4.98367662865E-05
b2293,3.36492785111E-05,0.000039806,3.71045370706E-05,4.85034694008E-05,3.73158897392E-05,2.47051153089E-05,4.97227557097E-05
b3926,5.30479181097E-05,6.48442063255E-05,6.92408524075E-05,0.0029857539,4.05808073185E-05,6.25282168154E-05,4.94141473594E-05
b2012,5.47563084945E-05,8.1103345398E-05,6.96752796213E-05,6.84411401919E-05,4.48594710082E-05,5.53641273319E-05,4.91844747473E-05
b0077,3.99096871973E-05,4.23593243149E-05,5.85763036295E-05,5.66260843802E-05,4.74784533882E-05,3.7469820066E-05,4.91799239125E-05
b0687,4.025951268E-05,3.59671168274E-05,4.05331210186E-05,3.94566366628E-05,4.79428728289E-05,3.97790956875E-05,4.8848447277E-05
b0078,5.26651079937E-05,3.54681603998E-05,4.83126679141E-05,0.00004271,5.90195630619E-05,0.000049129,4.88232971152E-05
b2597,0.000063275,6.2169583162E-05,6.46026856494E-05,9.07707133396E-05,7.03948308192E-05,8.50413875138E-05,4.87824395789E-05
b2662,0.0001532757,0.0001062588,0.0001404084,0.0001129955,7.0174429036E-05,0.000077931,4.86223596188E-05
b0181,5.36806037852E-05,3.91587006161E-05,5.71128121849E-05,5.37635049479E-05,5.30861897497E-05,5.3588786343E-05,4.84753008621E-05
b0085,3.66503122506E-05,5.94187520367E-05,5.39587577419E-05,3.81885147496E-05,3.94185478641E-05,3.65432304342E-05,4.83854645022E-05
b0931,3.76717583569E-05,3.69136059505E-05,5.19010862662E-05,4.93403434377E-05,4.03211187552E-05,4.20892741964E-05,4.82044953158E-05
b0965,0.0001729227,4.84359442607E-05,2.88778616437E-05,5.02218554096E-05,6.57506650698E-05,8.4739503527E-05,4.81219064176E-05
b0598,0.0003225789,0.000320691,0.0003203752,0.0003034944,0.0001574228,0.0003609839,4.79837059538E-05
b3929,5.01406760517E-05,3.71123881297E-05,5.26816487295E-05,4.00463392644E-05,3.72351322179E-05,3.80816558588E-05,4.79511195978E-05
b2905,2.33436014431E-05,2.20893604378E-05,2.46033789284E-05,3.76511211924E-05,3.84032290749E-05,3.29219012376E-05,4.70965338137E-05
b0242,3.4368230789E-05,3.71633799865E-05,4.71071903204E-05,4.10067362903E-05,4.67932487602E-05,3.82894954445E-05,4.70493877162E-05
b0557,5.97283696791E-06,0.000016291,4.43936182731E-05,4.36527732654E-05,1.14545452872E-05,0.000008364,4.67305134197E-05
b1103,6.45183957215E-05,5.95524955344E-05,4.15624963045E-05,5.42934001415E-05,4.71695775864E-05,5.4617793194E-05,4.66966424204E-05
b1018,2.80916933144E-05,2.5600124609E-05,2.18091389224E-05,1.95728783687E-05,3.9649704411E-05,4.17996123899E-05,4.63740524301E-05
b1687,3.91916596122E-05,5.17758240709E-05,5.69384909178E-05,5.4042064221E-05,6.28236108747E-05,6.42245106206E-05,4.63696401674E-05
b3833,0.000038397,3.51041784477E-05,0.000045912,4.17655393022E-05,3.98938017946E-05,4.59344414162E-05,4.62177990312E-05
b1764,3.27236318325E-05,5.38869345486E-05,4.92687882989E-05,4.64917184158E-05,3.58118972405E-05,4.09684530581E-05,0.000046044
b0094,4.01776400677E-05,5.74118413349E-05,4.92377200937E-05,4.69178023026E-05,4.34823808789E-05,3.96761819613E-05,4.5901159583E-05
b3572,2.63575911472E-05,3.7133930387E-05,3.09007115701E-05,3.30922962559E-05,2.86396631317E-05,2.49263119092E-05,4.57877202336E-05
b0125,3.09581558051E-05,2.34165491284E-05,3.0472839206E-05,3.2184840854E-05,4.01001533423E-05,3.57549265587E-05,4.57827301542E-05
b3858,2.08796155736E-05,3.5903186942E-05,3.4892301355E-05,2.96437104265E-05,0.000024007,2.49732337084E-05,4.57122756496E-05
b0163,7.47535102615E-05,6.41903804915E-05,6.62659354061E-05,7.30440610241E-05,5.36966366386E-05,5.83967101855E-05,4.56737545217E-05
b1219,3.5995435246E-05,0.000078721,5.26645325983E-05,2.96900500514E-05,1.98941670467E-05,2.47253104983E-05,4.54568997445E-05
b0865,8.61029303299E-05,7.50307935543E-05,5.40232184105E-05,7.16261072999E-05,4.2752074628E-05,4.97756243824E-05,4.52089427052E-05
b3826,3.04721255692E-05,3.26412955771E-05,3.40602212298E-05,3.49278158773E-05,3.47734140843E-05,3.6396568507E-05,4.49667776645E-05
b2521,9.48481790992E-05,8.52247999318E-05,0.0001002322,6.7086862402E-05,5.17776566778E-05,0.000080892,4.48363587859E-05
b2922,5.72477350462E-05,3.92779109955E-05,3.70953218087E-05,4.38125799089E-05,0.000039053,4.83915428489E-05,4.47452088322E-05
b3803,5.76091445629E-05,4.03663556496E-05,5.20186735855E-05,5.09363957586E-05,3.84985449419E-05,0.000053005,4.46576130346E-05
b0086,2.56968190317E-05,5.28351696854E-05,4.73515563023E-05,4.29232238564E-05,2.50659187097E-05,2.43103153226E-05,4.45973534218E-05
b1611,0.0002335915,0.000105784,0.000062203,5.45468819676E-05,0.000057518,9.28146299674E-05,4.45696445771E-05
b2746,4.35537408304E-05,4.32243351013E-05,4.17159177849E-05,4.99006775928E-05,4.5971312104E-05,5.5787810685E-05,4.4490473545E-05
b0800,5.79607820336E-05,4.61545146835E-05,3.19226281076E-05,3.30649498075E-05,3.8254351237E-05,3.11146120454E-05,0.000044481
b4371,3.41200532529E-05,2.55723698788E-05,3.1701737509E-05,3.61005761055E-05,3.96781623609E-05,3.57601303463E-05,4.43546104509E-05
b1928,4.57184725099E-05,3.75274074932E-05,3.82003045923E-05,4.31637726008E-05,4.85882209381E-05,4.28841003846E-05,4.42177401327E-05
b1449,8.76588118499E-05,5.63995810721E-05,3.63545628714E-05,4.9924548893E-05,2.82433118372E-05,3.61559450397E-05,4.41696971864E-05
b2989,9.57698366891E-05,0.000070522,5.93683864262E-05,0.0000642,3.95552989233E-05,6.06926278097E-05,4.41530857078E-05
b4214,6.84201881114E-05,4.89055320283E-05,4.5758882734E-05,4.45826980359E-05,3.37432278568E-05,3.60640502092E-05,4.41351929937E-05
b2040,0.000024137,3.62344228939E-05,3.13042181198E-05,3.58116488359E-05,0.000038832,4.35395087538E-05,4.41066680023E-05
b3510,0.0004044894,0.000907279,4.00237841978E-05,0.000068075,9.41009321725E-05,0.0001242683,4.40966140004E-05
b3203,6.17832812507E-05,0.000069576,4.95158962109E-05,5.01947757115E-05,3.16401857877E-05,4.49277074728E-05,4.40292694989E-05
b3417,3.65292625198E-05,3.10062266464E-05,4.04035532584E-05,4.73038082117E-05,6.75490558166E-05,4.19261503031E-05,4.40222750481E-05
b3912,8.15347139623E-05,5.49153332158E-05,6.06779000002E-05,0.000039312,5.11668167697E-05,5.65353102321E-05,0.000043518
b3288,0.000040089,4.71753769017E-05,5.23096714116E-05,4.99199235863E-05,3.85071734673E-05,3.6045154928E-05,4.33005150258E-05
b1693,3.00520647557E-05,2.57993927403E-05,3.35667448175E-05,0.000031593,3.69997542188E-05,2.80152723842E-05,4.28817657534E-05
b2294,6.42504768185E-05,3.66921683047E-05,4.15151244329E-05,6.57504997778E-05,5.92796677143E-05,4.50958985026E-05,0.000042632
b2515,2.05803544564E-05,3.17725027489E-05,3.27338666207E-05,0.00003527,2.7213892235E-05,2.55003027062E-05,4.254422082E-05
b3836,3.05078121374E-05,2.05791894844E-05,3.4893110665E-05,3.31455026102E-05,0.00003212,2.7166311317E-05,4.24132845128E-05
b1304,3.61181852037E-05,0.000044795,5.67532966145E-05,6.67437033448E-05,5.02815787218E-05,4.20918783637E-05,4.21852769633E-05
b0006,2.6059293965E-05,0.000027931,3.39370877813E-05,3.37874317056E-05,4.20176251762E-05,0.000031029,4.21160703753E-05
b0827,0.000041306,0.000041911,3.89395315977E-05,0.000036069,3.17464242818E-05,2.82202207539E-05,4.20529303994E-05
b1710,6.14767813681E-05,5.46814606677E-05,3.03095824088E-05,4.62095983421E-05,2.70931969887E-05,3.5050869789E-05,4.20058902232E-05
b0571,6.30905729148E-05,4.92306022668E-05,3.80319153242E-05,5.12553817334E-05,4.23417685979E-05,4.30616006175E-05,4.17857306905E-05
b3644,5.1785682307E-05,4.60525795968E-05,5.22897174282E-05,4.7438297395E-05,4.33548751359E-05,4.7409195345E-05,4.17416576227E-05
b0910,3.70296517231E-05,2.89500652424E-05,3.29175105614E-05,3.40425266119E-05,0.000030414,3.15531665998E-05,0.000041664
b3701,3.65778109928E-05,3.42105912291E-05,3.78237169775E-05,4.1312056868E-05,3.58895872669E-05,3.05563919804E-05,4.14906833636E-05
b3780,3.77198554699E-05,3.59665135692E-05,3.93866110394E-05,3.70068949605E-05,4.56601492266E-05,3.78996902156E-05,4.148734038E-05
b3024,0.00007051,5.23955950642E-05,4.49766453622E-05,7.59405948448E-05,3.85336606694E-05,4.61266530319E-05,4.14276533085E-05
b0091,2.95975407316E-05,3.77126776062E-05,4.28460788505E-05,3.49674878304E-05,3.62814655603E-05,3.77428180916E-05,4.13072750131E-05
b3167,3.14677219863E-05,3.28437150815E-05,3.19118766188E-05,3.533488944E-05,2.88484699179E-05,2.96097294635E-05,4.12039481119E-05
b1809,4.00927653253E-05,0.000037699,3.46521580403E-05,3.59287843295E-05,4.63964821091E-05,3.93781434441E-05,4.10436508321E-05
b0759,0.0004486351,4.28959230042E-05,4.87058771326E-05,4.3051675202E-05,3.97601117307E-05,4.43595921359E-05,4.09990534233E-05
b4179,4.99125361072E-05,4.79312242493E-05,5.59695636138E-05,5.50485748845E-05,6.95568365605E-05,5.06267322137E-05,4.08983633205E-05
b1982,4.31563437028E-05,4.64385807522E-05,4.88606969139E-05,4.59176218829E-05,4.11187787835E-05,3.6336443866E-05,4.07438053327E-05
b2344,0.0003631196,0.0002310951,0.0002402314,0.000122915,5.25102866475E-05,0.0002016391,4.06298529333E-05
b3962,0.0001382749,0.0001483477,0.0001167969,0.0001002663,6.18476811103E-05,0.0002009353,4.06115032236E-05
b1002,0.0001656326,0.0001379697,8.35609306044E-05,7.38843114273E-05,0.000070593,8.4898282819E-05,4.05772024374E-05
b2976,0.0002350405,0.0004185173,4.67925295952E-05,0.0001176209,6.0669220512E-05,0.0001413057,4.02622032994E-05
b1088,1.8849651553E-05,1.94271149323E-05,2.48194968535E-05,3.10449435053E-05,3.15659309863E-05,0.000029872,0.000040131
b3405,5.86834105352E-05,4.20524437223E-05,6.17170853858E-05,5.51386832294E-05,3.71376696064E-05,4.35038413459E-05,0.000040123
b1680,3.47364549207E-05,4.01539390261E-05,3.75166986933E-05,3.10883970281E-05,2.46621842221E-05,0.000021365,0.000039977
b2513,2.53177402964E-05,0.000024101,0.000032752,3.06110915892E-05,2.94581805063E-05,2.87892850645E-05,3.98080641609E-05
b1251,3.58558379114E-05,4.10117390089E-05,3.54715612794E-05,3.88528823833E-05,0.000042144,0.000036503,3.97417024957E-05
b3866,3.35926808522E-05,3.06281855927E-05,3.84828315741E-05,3.55865508267E-05,3.39445446186E-05,0.000037139,3.96672347422E-05
b2684,1.70415911939E-05,2.54639294935E-05,3.35897483284E-05,2.9860472283E-05,3.89773397033E-05,3.6630668547E-05,3.95268480725E-05
b1847,4.64670708038E-05,4.0964808497E-05,2.61044765458E-05,4.25184672158E-05,2.51680647403E-05,4.09724057986E-05,3.94146612724E-05
b0480,4.62380996776E-05,0.000039907,3.85997988302E-05,4.45835899458E-05,3.0576597307E-05,0.00004316,3.91688829869E-05
b1376,0.0001855298,0.0001120969,0.0001515436,0.0001024449,6.03243197147E-05,0.0001267204,3.911074353E-05
b3523,2.09345272538E-05,1.09923840172E-05,1.73791832548E-05,0.000040209,5.25227023375E-05,3.33426769407E-05,3.90929242379E-05
b1003,4.28988731519E-05,3.75946459293E-05,3.03703059563E-05,4.82723567826E-05,0.000027598,1.2107747971E-05,3.87414512046E-05
b3200,5.38718287822E-05,3.4506851983E-05,4.22517036352E-05,4.17013571273E-05,3.6793121285E-05,3.90926547293E-05,3.86198566019E-05
b0356,3.82558611074E-05,0.000046039,4.19788138261E-05,5.0381582915E-05,3.28623065549E-05,0.000036006,3.83967465486E-05
b3006,2.2190376746E-05,2.6223818928E-05,3.88690862401E-05,3.49218837165E-05,0.000060203,4.41910942938E-05,3.81375071206E-05
b3193,2.86937240354E-05,2.25222096174E-05,0.000039494,3.62245903563E-05,3.47584562955E-05,4.28361942447E-05,3.80741365267E-05
b3611,4.40046826068E-05,2.96948723176E-05,0.000044842,4.57403004225E-05,4.56481857772E-05,3.91655899863E-05,3.79203214707E-05
b2411,4.33518292335E-05,3.46551728134E-05,3.53732692196E-05,4.30460570189E-05,5.47081480509E-05,5.59080684834E-05,3.78614544688E-05
