reaction_id,reaction_string,EC_number
ASNTRS,L-Asparagine + ATP + TRNA(Asn) ⇒ AMP + L-Asparaginyl-tRNA(Asn) + Diphosphate,6.1.1.22
ASNabcpp,L-Asparagine + ATP + H2O ⇒ ADP + L-Asparagine + H+ + Phosphate,
ASNt2rpp,L-Asparagine + H+ ⇒ L-Asparagine + H+,
ASNtex,L-Asparagine ⇒ L-Asparagine,
ASO3t8pp,Arsenite + ATP + H2O ⇒ ADP + Arsenite + H+ + Phosphate,3.6.3.16
ASO3tex,Arsenite ⇒ Arsenite,
ASP1DC,L-Aspartate + H+ ⇒ Beta-Alanine + CO2,4.1.1.15
ASPCT,L-Aspartate + Carbamoyl phosphate ⇒ N-Carbamoyl-L-aspartate + H+ + Phosphate,2.1.3.2
ASPK,L-Aspartate + ATP ⇒ 4-Phospho-L-aspartate + ADP,2.7.2.4
ASPO3,L-Aspartate + Ubiquinone-8 ⇒ H+ + Iminoaspartate + Ubiquinol-8,
ASPO4,L-Aspartate + Menaquinone 8 ⇒ H+ + Iminoaspartate + Menaquinol 8,
ASPO5,L-Aspartate + Fumarate ⇒ H+ + Iminoaspartate + Succinate,1.5.99
ASPO6,L-Aspartate + O2 ⇒ Hydrogen peroxide + H+ + Iminoaspartate,1.4.3.16
ASPT,L-Aspartate ⇒ Fumarate + Ammonium,4.3.1.1
ASPTA,2-Oxoglutarate + L-Aspartate ⇒ L-Glutamate + Oxaloacetate,2.6.1.1
ASPTRS,L-Aspartate + ATP + TRNA(Asp) ⇒ AMP + L-Aspartyl-tRNA(Asp) + Diphosphate,6.1.1.23
ASPabcpp,L-Aspartate + ATP + H2O ⇒ ADP + L-Aspartate + H+ + Phosphate,3.6.3.21
ASPt2_2pp,L-Aspartate + 2.0 H+ ⇒ L-Aspartate + 2.0 H+,
ASPt2_3pp,L-Aspartate + 3.0 H+ ⇒ L-Aspartate + 3.0 H+,
ASPt2pp_copy1,L-Aspartate + H+ ⇒ L-Aspartate + H+,
ASPt2pp_copy2,L-Aspartate + H+ ⇒ L-Aspartate + H+,
ASPtex,L-Aspartate ⇒ L-Aspartate,
ASR,Arsenate + 2.0 Reduced glutathione ⇒ Arsenite + Oxidized glutathione + H2O,
AST,L-Arginine + Succinyl-CoA ⇒ Coenzyme A + H+ + N2-Succinyl-L-arginine,2.3.1.109
ATHRDHr,L-Allo-threonine + Nicotinamide adenine dinucleotide phosphate ⇒ L-2-Amino-3-oxobutanoate + H+ + Nicotinamide adenine dinucleotide phosphate - reduced,1.1.1.381
ATPHs,ATP + H2O + H+ ⇒ ITP + Ammonium,3.5.4.18
ATPM,ATP + H2O ⇒ ADP + H+ + Phosphate,3.6.4.9
ATPPRT,ATP + 5-Phospho-alpha-D-ribose 1-diphosphate ⇒ Diphosphate + 1-(5-Phosphoribosyl)-ATP,2.4.2.17
ATPS4rpp,ADP + 4.0 H+ + Phosphate ⇒ ATP + H2O + 3.0 H+,3.6.3.14
BALAt2pp,Beta-Alanine + H+ ⇒ Beta-Alanine + H+,
BALAtex,Beta-Alanine ⇒ Beta-Alanine,
BETALDHx,Betaine aldehyde + H2O + Nicotinamide adenine dinucleotide ⇒ Glycine betaine + 2.0 H+ + Nicotinamide adenine dinucleotide - reduced,1.2.1.8
BETALDHy,Betaine aldehyde + H2O + Nicotinamide adenine dinucleotide phosphate ⇒ Glycine betaine + 2.0 H+ + Nicotinamide adenine dinucleotide phosphate - reduced,1.2.1.8
BMOCOS,Molybdenum cofactor + Adenylated molybdopterin ⇒ AMP + Bis-molybdenum cofactor + Cu2+,
BMOGDS1,Bis-molybdenum cofactor + GTP + H+ ⇒ Bis-molybdopterin mono-guanine dinucleotide + Diphosphate,
BMOGDS2,Bis-molybdopterin mono-guanine dinucleotide + GTP + H+ ⇒ Bis-molybdopterin guanine dinucleotide + Diphosphate,
BPNT,"H2O + Adenosine 3',5'-bisphosphate ⇒ AMP + Phosphate",3.1.3.7
BSORx,D-biotin d-sulfoxide + H+ + Nicotinamide adenine dinucleotide - reduced ⇒ Biotin + H2O + Nicotinamide adenine dinucleotide,
BSORy,D-biotin d-sulfoxide + H+ + Nicotinamide adenine dinucleotide phosphate - reduced ⇒ Biotin + H2O + Nicotinamide adenine dinucleotide phosphate,1.-.-.-
BTNt2ipp,Biotin + H+ ⇒ Biotin + H+,
BTNtex,Biotin ⇒ Biotin,
BTS5,[2Fe-2S] iron-sulfur cluster + S-Adenosyl-L-methionine + Dethiobiotin ⇒ [2Fe-1S] desulfurated iron-sulfur cluster + Biotin + 5'-Deoxyadenosine + H+ + L-Methionine,
BUTCT,Acetyl-CoA + Butyrate (n-C4:0) ⇒ Acetate + Butanoyl-CoA,2.8.3.8
BUTSO3abcpp,ATP + Butanesulfonate + H2O ⇒ ADP + Butanesulfonate + H+ + Phosphate,
BUTSO3tex,Butanesulfonate ⇒ Butanesulfonate,
BUTt2rpp,Butyrate (n-C4:0) + H+ ⇒ Butyrate (n-C4:0) + H+,
BUTtex,Butyrate (n-C4:0) ⇒ Butyrate (n-C4:0),
BWCOGDS1,Tungsten bispterin cofactor + GTP + H+ ⇒ Tungsten bispterin cofactor mono-guanine dinucleotide + Diphosphate,
BWCOGDS2,Tungsten bispterin cofactor mono-guanine dinucleotide + GTP + H+ ⇒ Tungsten bispterin cofactor guanine dinucleotide + Diphosphate,
BWCOS,Adenylated molybdopterin + Tungsten binding cofactor ⇒ AMP + Tungsten bispterin cofactor + Cu2+,
CA2t3pp,Calcium + H+ ⇒ Calcium + H+,
CA2tex,Calcium ⇒ Calcium,
CADVtpp,"1,5-Diaminopentane + H+ + L-Lysine ⇒ 1,5-Diaminopentane + H+ + L-Lysine",
CAT,2.0 Hydrogen peroxide ⇒ 2.0 H2O + O2,1.11.1.6
CAt6pp,Calcium + Sodium ⇒ Calcium + Sodium,
CBIAT,ATP + Cobinamide + H+ ⇒ Adenosyl cobinamide + Inorganic triphosphate,2.5.1.17
CBItonex,Cobinamide + H+ ⇒ Cobinamide + H+,
CBIuabcpp,ATP + Cobinamide + H2O ⇒ ADP + Cobinamide + H+ + Phosphate,
CBL1abcpp,ATP + Cob(I)alamin + H2O ⇒ ADP + Cob(I)alamin + H+ + Phosphate,3.6.3.33
CBL1tonex,Cob(I)alamin + H+ ⇒ Cob(I)alamin + H+,
CBLAT,ATP + Cob(I)alamin + H+ ⇒ Adenosylcobalamin + Inorganic triphosphate,2.5.1.17
CBMD,Carbamate + 2.0 H+ ⇒ CO2 + Ammonium,4.2.1.104
CBMKr,ATP + CO2 + Ammonium ⇒ ADP + Carbamoyl phosphate + 2.0 H+,2.7.2.2
CBPS,2.0 ATP + L-Glutamine + H2O + Bicarbonate ⇒ 2.0 ADP + Carbamoyl phosphate + L-Glutamate + 2.0 H+ + Phosphate,6.3.5.5
CCGS,ATP + 7-deaza-7-carboxyguanine + Ammonium ⇒ ADP + H2O + H+ + Phosphate + 7-cyano-7-carbaguanine,
CD2abcpp,ATP + Cadmium + H2O ⇒ ADP + Cadmium + H+ + Phosphate,3.6.3.46
CD2t3pp,Cadmium + H+ ⇒ Cadmium + H+,
CD2tex,Cadmium ⇒ Cadmium,
CD2tpp,Cadmium ⇒ Cadmium,
CDAPPA120,"CDP-1,2-didodecanoylglycerol + H2O ⇒ CMP + 2.0 H+ + 1,2-didodecanoyl-sn-glycerol 3-phosphate",3.6.1.26
CDAPPA140,"CDP-1,2-ditetradecanoylglycerol + H2O ⇒ CMP + 2.0 H+ + 1,2-ditetradecanoyl-sn-glycerol 3-phosphate",3.6.1.26
CDAPPA141,"CDP-1,2-ditetradec-7-enoylglycerol + H2O ⇒ CMP + 2.0 H+ + 1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate",3.6.1.26
CDAPPA160,"CDP-1,2-dihexadecanoylglycerol + H2O ⇒ CMP + 2.0 H+ + 1,2-dihexadecanoyl-sn-glycerol 3-phosphate",3.6.1.26
CDAPPA161,"CDP-1,2-dihexadec-9-enoylglycerol + H2O ⇒ CMP + 2.0 H+ + 1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate",3.6.1.26
CDAPPA180,"CDP-1,2-dioctadecanoylglycerol + H2O ⇒ CMP + 2.0 H+ + 1,2-dioctadecanoyl-sn-glycerol 3-phosphate",3.6.1.26
CDAPPA181,"CDP-1,2-dioctadec-11-enoylglycerol + H2O ⇒ CMP + 2.0 H+ + 1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate",3.6.1.26
CDGR,3.0 H+ + 2.0 Nicotinamide adenine dinucleotide phosphate - reduced + 7-cyano-7-carbaguanine ⇒ 2.0 Nicotinamide adenine dinucleotide phosphate + 7-aminomethyl-7-deazaguanine,1.7.1.13
CDGS,"6-carboxy-5,6,7,8-tetrahydropterin + H+ ⇒ 7-deaza-7-carboxyguanine + Ammonium",
CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol + ATP ⇒ 2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol + ADP + H+,2.7.1.148
CFAS160E,"2.0 S-Adenosyl-L-methionine + Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1) ⇒ 2.0 S-Adenosyl-L-homocysteine + Cyclopropane phosphatidylethanolamine (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo) + 2.0 H+",2.1.1.79
CFAS160G,"2.0 S-Adenosyl-L-methionine + Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1) ⇒ 2.0 S-Adenosyl-L-homocysteine + Cyclopropane phosphatidylglycerol (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo) + 2.0 H+",2.1.1.79
CFAS180E,"2.0 S-Adenosyl-L-methionine + Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1) ⇒ 2.0 S-Adenosyl-L-homocysteine + Cyclopropane phosphatidylethanolamine (dioctadec-11,12-cyclo-anoyl, n-C18:0 cyclo) + 2.0 H+",2.1.1.79
CFAS180G,"2.0 S-Adenosyl-L-methionine + Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1) ⇒ 2.0 S-Adenosyl-L-homocysteine + Cyclopropane phosphatidylglycerol (dioctadec-11,12-cyclo-anoyl, n-C18:0 cyclo) + 2.0 H+",2.1.1.79
CGLYabcpp,ATP + Cys-Gly + H2O ⇒ ADP + Cys-Gly + H+ + Phosphate,
CGLYtex,Cys-Gly ⇒ Cys-Gly,
CHLabcpp,ATP + Choline + H2O ⇒ ADP + Choline + H+ + Phosphate,
CHLt2pp,Choline + H+ ⇒ Choline + H+,
CHLtex,Choline ⇒ Choline,
CHOLD,Choline + Nicotinamide adenine dinucleotide ⇒ Betaine aldehyde + H+ + Nicotinamide adenine dinucleotide - reduced,1.1.1.1
CHORM,Chorismate ⇒ Prephenate,5.4.99.5
CHORS,5-O-(1-Carboxyvinyl)-3-phosphoshikimate ⇒ Chorismate + Phosphate,4.2.3.5
CHRPL,Chorismate ⇒ 4-Hydroxybenzoate + Pyruvate,4.1.3.40
CHTBSptspp,"N,N'-diacetylchitobiose + Phosphoenolpyruvate ⇒ Diacetylchitobiose-6-phosphate + Pyruvate",
CHTBStex,"N,N'-diacetylchitobiose ⇒ N,N'-diacetylchitobiose",
CINNDO,"Trans-Cinnamate + H+ + Nicotinamide adenine dinucleotide - reduced + O2 ⇒ Cis-3-(3-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol + Nicotinamide adenine dinucleotide",1.14.12.19
CITL,Citrate ⇒ Acetate + Oxaloacetate,4.1.3.6
CITt3pp,Citrate + H+ ⇒ Citrate + H+,
CITt7pp,Citrate + Succinate ⇒ Citrate + Succinate,
CITtex,Citrate ⇒ Citrate,
CLIPAabctex,ATP + H2O + Cold adapted KDO(2)-lipid (A) ⇒ ADP + H+ + Cold adapted KDO(2)-lipid (A) + Phosphate,
CLPNH120pp,"Cardiolipin (tetradodecanoyl, n-C12:0) + H2O ⇒ H+ + 1,2-didodecanoyl-sn-glycerol 3-phosphate + Phosphatidylglycerol (didodecanoyl, n-C12:0)",
CLPNH140pp,"Cardiolipin (tetratetradecanoyl, n-C14:0) + H2O ⇒ H+ + 1,2-ditetradecanoyl-sn-glycerol 3-phosphate + Phosphatidylglycerol (ditetradecanoyl, n-C14:0)",
CLPNH141pp,"Cardiolipin (tetratetradec-7-enoyl, n-C14:1) + H2O ⇒ H+ + 1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate + Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1)",
CLPNH160pp,"Cardiolipin (tetrahexadecanoyl, n-C16:0) + H2O ⇒ H+ + 1,2-dihexadecanoyl-sn-glycerol 3-phosphate + Phosphatidylglycerol (dihexadecanoyl, n-C16:0)",
CLPNH161pp,"Cardiolipin (tetrahexadec-9-enoyl, n-C16:1) + H2O ⇒ H+ + 1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate + Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)",
CLPNH180pp,"Cardiolipin (tetraoctadecanoyl, n-C18:0) + H2O ⇒ H+ + 1,2-dioctadecanoyl-sn-glycerol 3-phosphate + Phosphatidylglycerol (dioctadecanoyl, n-C18:0)",
CLPNH181pp,"Cardiolipin (tetraoctadec-11-enoyl, n-C18:1) + H2O ⇒ H+ + 1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate + Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)",
CLPNS120pp,"2.0 Phosphatidylglycerol (didodecanoyl, n-C12:0) ⇒ Cardiolipin (tetradodecanoyl, n-C12:0) + Glycerol",
CLPNS140pp,"2.0 Phosphatidylglycerol (ditetradecanoyl, n-C14:0) ⇒ Cardiolipin (tetratetradecanoyl, n-C14:0) + Glycerol",
CLPNS141pp,"2.0 Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1) ⇒ Cardiolipin (tetratetradec-7-enoyl, n-C14:1) + Glycerol",
CLPNS160pp,"2.0 Phosphatidylglycerol (dihexadecanoyl, n-C16:0) ⇒ Cardiolipin (tetrahexadecanoyl, n-C16:0) + Glycerol",
CLPNS161pp,"2.0 Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1) ⇒ Cardiolipin (tetrahexadec-9-enoyl, n-C16:1) + Glycerol",
CLPNS180pp,"2.0 Phosphatidylglycerol (dioctadecanoyl, n-C18:0) ⇒ Cardiolipin (tetraoctadecanoyl, n-C18:0) + Glycerol",
CLPNS181pp,"2.0 Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1) ⇒ Cardiolipin (tetraoctadec-11-enoyl, n-C18:1) + Glycerol",
CLt3_2pp,2.0 Chloride + H+ ⇒ 2.0 Chloride + H+,
CLtex,Chloride ⇒ Chloride,
CMPN,CMP + H2O ⇒ Cytosine + Alpha-D-Ribose 5-phosphate,3.2.2.10
CMPtex,CMP ⇒ CMP,
CMtex,Chloramphenicol ⇒ Chloramphenicol,
CMtpp,Chloramphenicol + H+ ⇒ Chloramphenicol + H+,
CO2tex,CO2 ⇒ CO2,
CO2tpp,CO2 ⇒ CO2,
COBALT2abcpp,ATP + Co2+ + H2O ⇒ ADP + Co2+ + H+ + Phosphate,
COBALT2t3pp,Co2+ + H+ ⇒ Co2+ + H+,
COBALT2tex,Co2+ ⇒ Co2+,
COBALT2tpp,Co2+ ⇒ Co2+,
COLIPAKpp,Core oligosaccharide lipid A + Undecaprenyl diphosphate ⇒ Core oligosaccharide lipid A diphosphate + Undecaprenyl phosphate,
COLIPAPabctex,ATP + Core oligosaccharide lipid A diphosphate + H2O ⇒ ADP + Core oligosaccharide lipid A diphosphate + H+ + Phosphate,
COLIPAabcpp,ATP + Core oligosaccharide lipid A + H2O ⇒ ADP + Core oligosaccharide lipid A + H+ + Phosphate,
COLIPAabctex,ATP + Core oligosaccharide lipid A + H2O ⇒ ADP + Core oligosaccharide lipid A + H+ + Phosphate,
CPGNR1,2.0 Coprogen + Flavin adenine dinucleotide reduced ⇒ 2.0 Coprogen unloaded (no Fe(III)) + Flavin adenine dinucleotide oxidized + 2.0 Fe2+ + 2.0 H+,
CPGNR2,2.0 Coprogen + Reduced FMN ⇒ 2.0 Coprogen unloaded (no Fe(III)) + 2.0 Fe2+ + FMN + 2.0 H+,
CPGNR3,2.0 Coprogen + Reduced riboflavin ⇒ 2.0 Coprogen unloaded (no Fe(III)) + 2.0 Fe2+ + 2.0 H+ + Riboflavin,
CPGNUtex,Coprogen unloaded (no Fe(III)) + H+ ⇒ Coprogen unloaded (no Fe(III)) + H+,
CPGNUtpp,Coprogen unloaded (no Fe(III)) + H+ ⇒ Coprogen unloaded (no Fe(III)) + H+,
CPGNabcpp,ATP + Coprogen + H2O ⇒ ADP + Coprogen + H+ + Phosphate,
CPGNexs,Coprogen unloaded (no Fe(III)) + Fe3+ ⇒ Coprogen,
CPGNtonex,Coprogen + H+ ⇒ Coprogen + H+,
CPH4S,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate + H2O ⇒ Acetaldehyde + 6-carboxy-5,6,7,8-tetrahydropterin + H+ + Inorganic triphosphate",4.1.2.50
CPMPS,GTP + H2O ⇒ Cyclic pyranopterin monophosphate + Diphosphate,4.1.99.18
CPPPGO,Coproporphyrinogen III + 2.0 H+ + O2 ⇒ 2.0 CO2 + 2.0 H2O + Protoporphyrinogen IX,1.3.3.3
CPPPGO2,2.0 S-Adenosyl-L-methionine + Coproporphyrinogen III ⇒ 2.0 CO2 + 2.0 5'-Deoxyadenosine + 2.0 L-Methionine + Protoporphyrinogen IX,1.3.99.22
CRNBTCT,Gamma-butyrobetainyl-CoA + L-Carnitine ⇒ L-Carnitinyl-CoA + Gamma-butyrobetaine,2.8.3.21
CRNCAL2,ATP + Coenzyme A + L-Carnitine ⇒ ADP + L-Carnitinyl-CoA + Phosphate,
CRNCAR,L-Carnitinyl-CoA ⇒ D-carnitinyl-CoA,5.1.1
CRNCBCT,L-Carnitine + Crotonobetainyl-CoA ⇒ L-Carnitinyl-CoA + Crotonobetaine,2.8.3.21
CRNCDH,L-Carnitinyl-CoA ⇒ Crotonobetainyl-CoA + H2O,4.2.1.149
CRNDCAL2,ATP + Coenzyme A + D-Carnitine ⇒ ADP + D-carnitinyl-CoA + Phosphate,
CRNDabcpp,ATP + D-Carnitine + H2O ⇒ ADP + D-Carnitine + H+ + Phosphate,
CRNDt2rpp,D-Carnitine + H+ ⇒ D-Carnitine + H+,
CRNDtex,D-Carnitine ⇒ D-Carnitine,
CRNabcpp,ATP + L-Carnitine + H2O ⇒ ADP + L-Carnitine + H+ + Phosphate,
CRNt2rpp,L-Carnitine + H+ ⇒ L-Carnitine + H+,
CRNt7pp,L-Carnitine + Gamma-butyrobetaine ⇒ L-Carnitine + Gamma-butyrobetaine,
CRNt8pp,D-Carnitine + L-Carnitine ⇒ D-Carnitine + L-Carnitine,
CRNtex,L-Carnitine ⇒ L-Carnitine,
CS,Acetyl-CoA + H2O + Oxaloacetate ⇒ Citrate + Coenzyme A + H+,2.3.3.3
CSND,Cytosine + H2O + H+ ⇒ Ammonium + Uracil,3.5.4.1
CSNt2pp,Cytosine + H+ ⇒ Cytosine + H+,
CSNtex,Cytosine ⇒ Cytosine,
CTBTCAL2,ATP + Coenzyme A + Crotonobetaine ⇒ ADP + Crotonobetainyl-CoA + Phosphate,
CTBTabcpp,ATP + Crotonobetaine + H2O ⇒ ADP + Crotonobetaine + H+ + Phosphate,
CTBTt2rpp,Crotonobetaine + H+ ⇒ Crotonobetaine + H+,
CTECOAI6,Tetradecenoyl-CoA (n-C14:1CoA) ⇒ Trans-Tetradec-2-enoyl-CoA,5.3.3.8
CTECOAI7,Hexadecenoyl-CoA (n-C16:1CoA) ⇒ Trans-Hexadec-2-enoyl-CoA,5.3.3.8
CTECOAI8,Octadecenoyl-CoA (n-C18:1CoA) ⇒ Trans-Octadec-2-enoyl-CoA,5.3.3.8
CTPS2,ATP + L-Glutamine + H2O + UTP ⇒ ADP + CTP + L-Glutamate + 2.0 H+ + Phosphate,6.3.4.2
CU1Opp,4.0 Cu+ + 4.0 H+ + O2 ⇒ 4.0 Cu2+ + 2.0 H2O,1.16.3
CU1abcpp,ATP + Cu+ + H2O ⇒ ADP + Cu+ + H+ + Phosphate,3.6.3.54
CU2abcpp,ATP + Cu2+ + H2O ⇒ ADP + Cu2+ + H+ + Phosphate,3.6.3.4
CU2tex,Cu2+ ⇒ Cu2+,
CU2tpp,Cu2+ ⇒ Cu2+,
CUt3,Cu+ + H+ ⇒ Cu+ + H+,
CUtex,Cu+ ⇒ Cu+,
CYANST,Hydrogen cyanide + Thiosulfate ⇒ H+ + Sulfite + Thiocyanate,2.8.1.1
CYANSTpp,Hydrogen cyanide + Thiosulfate ⇒ H+ + Sulfite + Thiocyanate,2.8.1.1
CYANtex,Hydrogen cyanide ⇒ Hydrogen cyanide,
CYNTAH,Cyanate + 3.0 H+ + Bicarbonate ⇒ 2.0 CO2 + Ammonium,
CYNTt2pp,Cyanate + H+ ⇒ Cyanate + H+,
CYNTtex,Cyanate ⇒ Cyanate,
CYSDDS,D-Cysteine + H2O ⇒ Hydrogen sulfide + Ammonium + Pyruvate,4.4.1.15
CYSDS,L-Cysteine + H2O ⇒ Hydrogen sulfide + Ammonium + Pyruvate,4.4.1.8
CYSDabcpp,ATP + D-Cysteine + H2O ⇒ ADP + D-Cysteine + H+ + Phosphate,
CYSDtex,D-Cysteine ⇒ D-Cysteine,
CYSS,O-Acetyl-L-serine + Hydrogen sulfide ⇒ Acetate + L-Cysteine + H+,2.5.1.65
CYSSADS,3-Sulfino-L-alanine + 2.0 H+ ⇒ L-Alanine + Sulfur dioxide,4.1.1.12
CYSTL,L-Cystathionine + H2O ⇒ L-Homocysteine + Ammonium + Pyruvate,
CYSTRS,ATP + L-Cysteine + TRNA(Cys) ⇒ AMP + L-Cysteinyl-tRNA(Cys) + Diphosphate,6.1.1.16
CYSabc2pp,ATP + L-Cysteine + H2O ⇒ ADP + L-Cysteine + H+ + Phosphate,3.6.3.21
CYSabcpp,ATP + L-Cysteine + H2O ⇒ ADP + L-Cysteine + H+ + Phosphate,3.6.3.21
CYStex,L-Cysteine ⇒ L-Cysteine,
CYStpp,L-Cysteine ⇒ L-Cysteine,
CYTBD2pp,2.0 H+ + Menaquinol 8 + 0.5 O2 ⇒ H2O + 2.0 H+ + Menaquinone 8,
CYTBDpp,2.0 H+ + 0.5 O2 + Ubiquinol-8 ⇒ H2O + 2.0 H+ + Ubiquinone-8,
CYTBO3_4pp,4.0 H+ + 0.5 O2 + Ubiquinol-8 ⇒ H2O + 4.0 H+ + Ubiquinone-8,
CYTD,Cytidine + H2O + H+ ⇒ Ammonium + Uridine,3.5.4.5
CYTDH,Cytidine + H2O ⇒ Cytosine + D-Ribose,3.2.2.8
CYTDK2,Cytidine + GTP ⇒ CMP + GDP + H+,2.7.1.48
CYTDt2pp_copy1,Cytidine + H+ ⇒ Cytidine + H+,
CYTDt2pp_copy2,Cytidine + H+ ⇒ Cytidine + H+,
CYTDtex,Cytidine ⇒ Cytidine,
CYTK1,ATP + CMP ⇒ ADP + CDP,2.7.4.25
CYTK2,ATP + DCMP ⇒ ADP + DCDP,2.7.4.25
D_LACt2pp,H+ + D-Lactate ⇒ H+ + D-Lactate,
D_LACtex,D-Lactate ⇒ D-Lactate,
DAAD,D-Alanine + Flavin adenine dinucleotide oxidized + H2O ⇒ Flavin adenine dinucleotide reduced + Ammonium + Pyruvate,1.4.99.1
DADA,Deoxyadenosine + H2O + H+ ⇒ Deoxyinosine + Ammonium,3.5.4.4
DADK,ATP + DAMP ⇒ ADP + DADP,2.7.4.3
DADNt2pp,Deoxyadenosine + H+ ⇒ Deoxyadenosine + H+,
DADNtex,Deoxyadenosine ⇒ Deoxyadenosine,
DAGK120,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0) + ATP ⇒ ADP + H+ + 1,2-didodecanoyl-sn-glycerol 3-phosphate",
DAGK140,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0) + ATP ⇒ ADP + H+ + 1,2-ditetradecanoyl-sn-glycerol 3-phosphate",
DAGK141,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1) + ATP ⇒ ADP + H+ + 1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate",
DAGK160,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0) + ATP ⇒ ADP + H+ + 1,2-dihexadecanoyl-sn-glycerol 3-phosphate",2.7.1.107
DAGK161,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1) + ATP ⇒ ADP + H+ + 1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate",
DAGK180,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0) + ATP ⇒ ADP + H+ + 1,2-dioctadecanoyl-sn-glycerol 3-phosphate",
DAGK181,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1) + ATP ⇒ ADP + H+ + 1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate",
DALAt2pp,D-Alanine + H+ ⇒ D-Alanine + H+,
DALAtex,D-Alanine ⇒ D-Alanine,
DAMPtex,DAMP ⇒ DAMP,
DAPAL,"2,3-diaminopropionate + H2O ⇒ 2.0 Ammonium + Pyruvate",4.3.1.15
DAPDC,"Meso-2,6-Diaminoheptanedioate + H+ ⇒ CO2 + L-Lysine",4.1.1.20
DAPE,"LL-2,6-Diaminoheptanedioate ⇒ Meso-2,6-Diaminoheptanedioate",5.1.1.7
DAPabcpp,"Meso-2,6-Diaminoheptanedioate + ATP + H2O ⇒ Meso-2,6-Diaminoheptanedioate + ADP + H+ + Phosphate",
DAPtex,"1,5-Diaminopentane ⇒ 1,5-Diaminopentane",
DASYN120,"CTP + H+ + 1,2-didodecanoyl-sn-glycerol 3-phosphate ⇒ CDP-1,2-didodecanoylglycerol + Diphosphate",2.7.7.41
DASYN140,"CTP + H+ + 1,2-ditetradecanoyl-sn-glycerol 3-phosphate ⇒ CDP-1,2-ditetradecanoylglycerol + Diphosphate",2.7.7.41
DASYN141,"CTP + H+ + 1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate ⇒ CDP-1,2-ditetradec-7-enoylglycerol + Diphosphate",2.7.7.41
DASYN160,"CTP + H+ + 1,2-dihexadecanoyl-sn-glycerol 3-phosphate ⇒ CDP-1,2-dihexadecanoylglycerol + Diphosphate",2.7.7.41
DASYN161,"CTP + H+ + 1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate ⇒ CDP-1,2-dihexadec-9-enoylglycerol + Diphosphate",2.7.7.41
DASYN180,"CTP + H+ + 1,2-dioctadecanoyl-sn-glycerol 3-phosphate ⇒ CDP-1,2-dioctadecanoylglycerol + Diphosphate",2.7.7.41
DASYN181,"CTP + H+ + 1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate ⇒ CDP-1,2-dioctadec-11-enoylglycerol + Diphosphate",2.7.7.41
DATPHs,DATP + H2O + H+ ⇒ DITP + Ammonium,
DB4PS,"D-Ribulose 5-phosphate ⇒ 3,4-dihydroxy-2-butanone 4-phosphate + Formate + H+",4.1.99.12
DBTS,"ATP + CO2 + 7,8-Diaminononanoate ⇒ ADP + Dethiobiotin + 3.0 H+ + Phosphate",6.3.3.3
DC6PH,Diacetylchitobiose-6-phosphate + H2O ⇒ N-Acetyl-D-glucosamine 6-phosphate + N-Acetyl-D-glucosamine,
DCAtex,Decanoate (n-C10:0) ⇒ Decanoate (n-C10:0),
DCMPtex,DCMP ⇒ DCMP,
DCTPD,DCTP + H2O + H+ ⇒ DUTP + Ammonium,3.5.4.13
DCYTD,Deoxycytidine + H2O + H+ ⇒ Deoxyuridine + Ammonium,3.5.4.5
