,BIGG_id,reaction_id,reaction_string,EC_number
583,AGM4PA,AGM4PA,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide + H2O ⇒ L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine + N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid",
584,AGM4PApp,AGM4PApp,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide + H2O ⇒ L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine + N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid",
585,AGM4PCP,AGM4PCP,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide + H2O ⇒ D-Alanine + N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide,
586,AGM4PCPpp,AGM4PCPpp,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide + H2O ⇒ D-Alanine + N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide,
587,AGM4PH,AGM4PH,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide + H2O ⇒ N-Acetyl-D-glucosamine + 1,6-anhydrous-N-Acetylmuramyl-tetrapeptide",
588,AGM4Pt2pp,AGM4Pt2pp,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide + H+ ⇒ N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide + H+,
589,AGMH,AGMH,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid + H2O ⇒ N-Acetyl-D-glucosamine + 1,6-anhydrous-N-Acetylmuramate",
590,AGMHE,AGMHE,ADP-D-glycero-D-manno-heptose ⇒ ADP-L-glycero-D-manno-heptose,5.1.3.20
591,AGMT,AGMT,Agmatine + H2O ⇒ Putrescine + Urea,3.5.3.11
592,AGMt2pp,AGMt2pp,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid + H+ ⇒ N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid + H+,
593,AGMtex,AGMtex,Agmatine ⇒ Agmatine,
594,AGPAT120,AGPAT120,"1-dodecanoyl-sn-glycerol 3-phosphate + Dodecanoyl-ACP (n-C12:0ACP) ⇒ Acyl carrier protein + 1,2-didodecanoyl-sn-glycerol 3-phosphate",2.3.1.51
595,AGPAT140,AGPAT140,"1-tetradecanoyl-sn-glycerol 3-phosphate + Myristoyl-ACP (n-C14:0ACP) ⇒ Acyl carrier protein + 1,2-ditetradecanoyl-sn-glycerol 3-phosphate",2.3.1.51
596,AGPAT141,AGPAT141,"1-tetradec-7-enoyl-sn-glycerol 3-phosphate + Cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1) ⇒ Acyl carrier protein + 1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate",2.3.1.51
597,AGPAT160,AGPAT160,"1-hexadecanoyl-sn-glycerol 3-phosphate + Palmitoyl-ACP (n-C16:0ACP) ⇒ Acyl carrier protein + 1,2-dihexadecanoyl-sn-glycerol 3-phosphate",2.3.1.51
598,AGPAT161,AGPAT161,"1-hexadec-9-enoyl-sn-glycerol 3-phosphate + Cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1) ⇒ Acyl carrier protein + 1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate",2.3.1.51
599,AGPAT180,AGPAT180,"1-octadecanoyl-sn-glycerol 3-phosphate + Octadecanoyl-ACP (n-C18:0ACP) ⇒ Acyl carrier protein + 1,2-dioctadecanoyl-sn-glycerol 3-phosphate",2.3.1.51
600,AGPAT181,AGPAT181,"1-octadec-11-enoyl-sn-glycerol 3-phosphate + Cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1) ⇒ Acyl carrier protein + 1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate",2.3.1.51
601,AGPR,AGPR,N-Acetyl-L-glutamate 5-semialdehyde + Nicotinamide adenine dinucleotide phosphate + Phosphate ⇒ N-Acetyl-L-glutamyl 5-phosphate + H+ + Nicotinamide adenine dinucleotide phosphate - reduced,1.2.1.38
602,AGt3,AGt3,Silver + H+ ⇒ Silver + H+,
603,AHCYSNS,AHCYSNS,S-Adenosyl-L-homocysteine + H2O ⇒ Adenine + S-Ribosyl-L-homocysteine,3.2.2.9
604,AICART,AICART,"10-Formyltetrahydrofolate + 5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide ⇒ 5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide + 5,6,7,8-Tetrahydrofolate",2.1.2.3
605,AIRC2,AIRC2,5-amino-1-(5-phospho-D-ribosyl)imidazole + ATP + Bicarbonate ⇒ 5-phosphoribosyl-5-carboxyaminoimidazole + ADP + H+ + Phosphate,6.3.4.18
606,AIRC3,AIRC3,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate ⇒ 5-phosphoribosyl-5-carboxyaminoimidazole,5.4.99.18
607,AKGDH,AKGDH,2-Oxoglutarate + Coenzyme A + Nicotinamide adenine dinucleotide ⇒ CO2 + Nicotinamide adenine dinucleotide - reduced + Succinyl-CoA,2.3.1.61
608,AKGt2rpp,AKGt2rpp,2-Oxoglutarate + H+ ⇒ 2-Oxoglutarate + H+,
609,AKGtex,AKGtex,2-Oxoglutarate ⇒ 2-Oxoglutarate,
610,ALAALAD,ALAALAD,D-Alanyl-D-alanine + H2O ⇒ 2.0 D-Alanine,3.4.13.22
611,ALAALAabcpp,ALAALAabcpp,D-Alanyl-D-alanine + ATP + H2O ⇒ ADP + D-Alanyl-D-alanine + H+ + Phosphate,
612,ALAALAr,ALAALAr,2.0 D-Alanine + ATP ⇒ ADP + D-Alanyl-D-alanine + H+ + Phosphate,6.3.2.4
613,ALAALAtex,ALAALAtex,D-Alanyl-D-alanine ⇒ D-Alanyl-D-alanine,
614,ALAGLUE,ALAGLUE,L-alanine-D-glutamate ⇒ L-alanine-L-glutamate,5.1.1.20
615,ALAR,ALAR,L-Alanine ⇒ D-Alanine,5.1.1.1
616,ALATA_D2,ALATA_D2,D-Alanine + Pyridoxal 5'-phosphate ⇒ Pyridoxamine 5'-phosphate + Pyruvate,
617,ALATA_L,ALATA_L,2-Oxoglutarate + L-Alanine ⇒ L-Glutamate + Pyruvate,2.6.1.2
618,ALATA_L2,ALATA_L2,L-Alanine + Pyridoxal 5'-phosphate ⇒ Pyridoxamine 5'-phosphate + Pyruvate,
619,ALATRS,ALATRS,L-Alanine + ATP + TRNA(Ala) ⇒ L-Alanyl-tRNA(Ala) + AMP + Diphosphate,6.1.1.7
620,ALAabcpp,ALAabcpp,L-Alanine + ATP + H2O ⇒ ADP + L-Alanine + H+ + Phosphate,
621,ALAt2pp_copy1,ALAt2pp_copy1,L-Alanine + H+ ⇒ L-Alanine + H+,
622,ALAt2pp_copy2,ALAt2pp_copy2,L-Alanine + H+ ⇒ L-Alanine + H+,
623,ALAt4pp,ALAt4pp,L-Alanine + Sodium ⇒ L-Alanine + Sodium,
624,ALAtex,ALAtex,L-Alanine ⇒ L-Alanine,
625,ALCD19,ALCD19,D-Glyceraldehyde + H+ + Nicotinamide adenine dinucleotide - reduced ⇒ Glycerol + Nicotinamide adenine dinucleotide,1.1.1.72
626,ALCD2x,ALCD2x,Ethanol + Nicotinamide adenine dinucleotide ⇒ Acetaldehyde + H+ + Nicotinamide adenine dinucleotide - reduced,1.1.1.71
627,ALDD19xr,ALDD19xr,H2O + Nicotinamide adenine dinucleotide + Phenylacetaldehyde ⇒ 2.0 H+ + Nicotinamide adenine dinucleotide - reduced + Phenylacetic acid,1.2.1.5
628,ALDD2x,ALDD2x,Acetaldehyde + H2O + Nicotinamide adenine dinucleotide ⇒ Acetate + 2.0 H+ + Nicotinamide adenine dinucleotide - reduced,1.2.1.5
629,ALDD2y,ALDD2y,Acetaldehyde + H2O + Nicotinamide adenine dinucleotide phosphate ⇒ Acetate + 2.0 H+ + Nicotinamide adenine dinucleotide phosphate - reduced,1.2.1.5
630,ALDD3y,ALDD3y,H2O + Nicotinamide adenine dinucleotide phosphate + Propanal ⇒ 2.0 H+ + Nicotinamide adenine dinucleotide phosphate - reduced + Propionate (n-C3:0),
631,ALDD4,ALDD4,Butanal + H2O + Nicotinamide adenine dinucleotide ⇒ Butyrate (n-C4:0) + 2.0 H+ + Nicotinamide adenine dinucleotide - reduced,
632,ALLK,ALLK,D-Allose + ATP ⇒ ADP + D-Allose 6-phosphate + H+,2.7.1.55
633,ALLPI,ALLPI,D-Allose 6-phosphate ⇒ Allulose 6-phosphate,
634,ALLTAMH,ALLTAMH,Allantoate + 2.0 H2O + 2.0 H+ ⇒ CO2 + 2.0 Ammonium + (-)-Ureidoglycolate,3.5.3.9
635,ALLTN,ALLTN,Allantoin + H2O ⇒ Allantoate + H+,3.5.2.5
636,ALLTNt2rpp,ALLTNt2rpp,Allantoin + H+ ⇒ Allantoin + H+,
637,ALLTNtex,ALLTNtex,Allantoin ⇒ Allantoin,
638,ALLULPE,ALLULPE,Allulose 6-phosphate ⇒ D-Fructose 6-phosphate,
639,ALLabcpp,ALLabcpp,D-Allose + ATP + H2O ⇒ ADP + D-Allose + H+ + Phosphate,
640,ALLtex,ALLtex,D-Allose ⇒ D-Allose,
641,ALPATE160pp,ALPATE160pp,"Applipoprotein + Phosphatidylethanolamine (dihexadecanoyl, n-C16:0) ⇒ 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) + Lipoprotein",
642,ALPATG160pp,ALPATG160pp,"Applipoprotein + Phosphatidylglycerol (dihexadecanoyl, n-C16:0) ⇒ 2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) + Lipoprotein",
643,ALR2,ALR2,H+ + Methylglyoxal + Nicotinamide adenine dinucleotide phosphate - reduced ⇒ Acetol + Nicotinamide adenine dinucleotide phosphate,1.1.1.-
644,ALR4x,ALR4x,"Acetol + H+ + Nicotinamide adenine dinucleotide - reduced ⇒ (R)-Propane-1,2-diol + Nicotinamide adenine dinucleotide",
645,ALTRH,ALTRH,D-Altronate ⇒ 2-Dehydro-3-deoxy-D-gluconate + H2O,4.2.1.7
646,AM3PA,AM3PA,"1,6-anhydrous-N-Acetylmuramyl-tripeptide + H2O ⇒ L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate + 1,6-anhydrous-N-Acetylmuramate",
647,AM4PA,AM4PA,"1,6-anhydrous-N-Acetylmuramyl-tetrapeptide + H2O ⇒ L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine + 1,6-anhydrous-N-Acetylmuramate",
648,AM4PCP,AM4PCP,"1,6-anhydrous-N-Acetylmuramyl-tetrapeptide + H2O ⇒ D-Alanine + 1,6-anhydrous-N-Acetylmuramyl-tripeptide",
649,AMALT1,AMALT1,Maltose + Maltotriose ⇒ D-Glucose + Maltotetraose,2.4.1.25
650,AMALT2,AMALT2,Maltose + Maltotetraose ⇒ D-Glucose + Maltopentaose,2.4.1.25
651,AMALT3,AMALT3,Maltose + Maltopentaose ⇒ D-Glucose + Maltohexaose,
652,AMALT4,AMALT4,Maltose + Maltohexaose ⇒ D-Glucose + Maltoheptaose,
653,AMANAPEr,AMANAPEr,N-Acetyl-D-mannosamine 6-phosphate ⇒ N-Acetyl-D-glucosamine 6-phosphate,5.1.3.9
654,AMANK,AMANK,N-Acetyl-D-mannosamine + ATP ⇒ N-Acetyl-D-mannosamine 6-phosphate + ADP + H+,2.7.1.60
655,AMAOTr,AMAOTr,"8-Amino-7-oxononanoate + S-Adenosyl-L-methionine ⇒ S-Adenosyl-4-methylthio-2-oxobutanoate + 7,8-Diaminononanoate",2.6.1.62
656,AMMQLT8,AMMQLT8,2-Demethylmenaquinol 8 + S-Adenosyl-L-methionine ⇒ S-Adenosyl-L-homocysteine + H+ + Menaquinol 8,2.1.1.163
657,AMPMS2,AMPMS2,5-amino-1-(5-phospho-D-ribosyl)imidazole + H2O + Nicotinamide adenine dinucleotide ⇒ 4-Amino-2-methyl-5-phosphomethylpyrimidine + 2.0 Formate + 3.0 H+ + Nicotinamide adenine dinucleotide - reduced,
658,AMPN,AMPN,AMP + H2O ⇒ Adenine + Alpha-D-Ribose 5-phosphate,3.2.2.4
659,AMPTASECG,AMPTASECG,Cys-Gly + H2O ⇒ L-Cysteine + Glycine,3.4.13.18
660,AMPTASEPG,AMPTASEPG,H2O + L-Prolinylglycine ⇒ Glycine + L-Proline,
661,AMPtex,AMPtex,AMP ⇒ AMP,
662,ANHGMtex,ANHGMtex,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid ⇒ N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid,
663,ANHMK,ANHMK,"1,6-anhydrous-N-Acetylmuramate + ATP + H2O ⇒ N-acetylmuramate 6-phosphate + ADP + H+",
664,ANPRT,ANPRT,Anthranilate + 5-Phospho-alpha-D-ribose 1-diphosphate ⇒ Diphosphate + N-(5-Phospho-D-ribosyl)anthranilate,2.4.2.18
665,ANS,ANS,Chorismate + L-Glutamine ⇒ Anthranilate + L-Glutamate + H+ + Pyruvate,4.1.3.27
666,AOBUTDs,AOBUTDs,L-2-Amino-3-oxobutanoate + H+ ⇒ Aminoacetone + CO2,1.1.1.381
667,AOXSr2,AOXSr2,L-Alanine + Pimeloyl-[acyl-carrier protein] ⇒ 8-Amino-7-oxononanoate + Acyl carrier protein + CO2,2.3.1.47
668,AP4AH,AP4AH,"P1,P4-Bis(5'-adenosyl) tetraphosphate + H2O ⇒ 2.0 ADP + 2.0 H+",3.6.1.41
669,AP4AS,AP4AS,"2.0 ATP + H+ ⇒ P1,P4-Bis(5'-adenosyl) tetraphosphate + Diphosphate",2.7.7
670,AP5AH,AP5AH,"P1,P5-Bis(5'-adenosyl) pentaphosphate + H2O ⇒ ADP + ATP + 2.0 H+",3.6.1.61
671,APCS,APCS,"1,5-Diaminopentane + S-Adenosylmethioninamine ⇒ 5-Methylthioadenosine + H+ + N-3-aminopropyl-1,5-diaminopentane",2.5.1.16
672,APG3PAT120,APG3PAT120,Dodecanoly-phosphate (n-C12:0) + Glycerol 3-phosphate ⇒ 1-dodecanoyl-sn-glycerol 3-phosphate + H+ + Phosphate,
673,APG3PAT140,APG3PAT140,Glycerol 3-phosphate + Tetradecanoyl-phosphate (n-C14:0) ⇒ 1-tetradecanoyl-sn-glycerol 3-phosphate + H+ + Phosphate,
674,APG3PAT141,APG3PAT141,Glycerol 3-phosphate + Tetradecanoyl-phosphate (n-C14:1) ⇒ 1-tetradec-7-enoyl-sn-glycerol 3-phosphate + H+ + Phosphate,
675,APG3PAT160,APG3PAT160,Glycerol 3-phosphate + Hexadecanoyl-phosphate (n-C16:0) ⇒ 1-hexadecanoyl-sn-glycerol 3-phosphate + H+ + Phosphate,
676,APG3PAT161,APG3PAT161,Glycerol 3-phosphate + Hexadecanoyl-phosphate (n-C16:1) ⇒ 1-hexadec-9-enoyl-sn-glycerol 3-phosphate + H+ + Phosphate,
677,APG3PAT180,APG3PAT180,Glycerol 3-phosphate + Octadecanoyl-phosphate (n-C18:0) ⇒ 1-octadecanoyl-sn-glycerol 3-phosphate + H+ + Phosphate,
678,APG3PAT181,APG3PAT181,Glycerol 3-phosphate + Octadecanoyl-phosphate (n-C18:1) ⇒ 1-octadec-11-enoyl-sn-glycerol 3-phosphate + H+ + Phosphate,
679,APH120,APH120,Dodecanoly-phosphate (n-C12:0) + H2O ⇒ Dodecanoate (n-C12:0) + 2.0 H+ + Phosphate,
680,APH140,APH140,H2O + Tetradecanoyl-phosphate (n-C14:0) ⇒ 2.0 H+ + Phosphate + Tetradecanoate (n-C14:0),
681,APH141,APH141,H2O + Tetradecanoyl-phosphate (n-C14:1) ⇒ 2.0 H+ + Phosphate + Tetradecenoate (n-C14:1),
682,APH160,APH160,H2O + Hexadecanoyl-phosphate (n-C16:0) ⇒ 2.0 H+ + Hexadecanoate (n-C16:0) + Phosphate,
683,APH161,APH161,H2O + Hexadecanoyl-phosphate (n-C16:1) ⇒ 2.0 H+ + Hexadecenoate (n-C16:1) + Phosphate,
684,APH180,APH180,H2O + Octadecanoyl-phosphate (n-C18:0) ⇒ 2.0 H+ + Octadecanoate (n-C18:0) + Phosphate,
685,APH181,APH181,H2O + Octadecanoyl-phosphate (n-C18:1) ⇒ 2.0 H+ + Octadecenoate (n-C18:1) + Phosphate,
686,APPLDHr,APPLDHr,Aminoacetone + H+ + Nicotinamide adenine dinucleotide - reduced ⇒ 1-Aminopropan-2-ol + Nicotinamide adenine dinucleotide,2.3.1.37
687,APRAUR,APRAUR,5-Amino-6-(5'-phosphoribosylamino)uracil + H+ + Nicotinamide adenine dinucleotide phosphate - reduced ⇒ 5-Amino-6-(5'-phosphoribitylamino)uracil + Nicotinamide adenine dinucleotide phosphate,1.1.1.193
688,ARAI,ARAI,L-Arabinose ⇒ L-Ribulose,5.3.1.4
689,ARBTNR1,ARBTNR1,2.0 Aerobactin + Flavin adenine dinucleotide reduced ⇒ 2.0 Aerobactin minus Fe3 + Flavin adenine dinucleotide oxidized + 2.0 Fe2+ + 2.0 H+,
690,ARBTNR2,ARBTNR2,2.0 Aerobactin + Reduced FMN ⇒ 2.0 Aerobactin minus Fe3 + 2.0 Fe2+ + FMN + 2.0 H+,
691,ARBTNR3,ARBTNR3,2.0 Aerobactin + Reduced riboflavin ⇒ 2.0 Aerobactin minus Fe3 + 2.0 Fe2+ + 2.0 H+ + Riboflavin,
692,ARBTNabcpp,ARBTNabcpp,Aerobactin + ATP + H2O ⇒ ADP + Aerobactin + H+ + Phosphate,
693,ARBTNexs,ARBTNexs,Aerobactin minus Fe3 + Fe3+ ⇒ Aerobactin,
694,ARBTNtex,ARBTNtex,Aerobactin minus Fe3 + H+ ⇒ Aerobactin minus Fe3 + H+,
695,ARBTNtonex,ARBTNtonex,Aerobactin + H+ ⇒ Aerobactin + H+,
696,ARBTNtpp,ARBTNtpp,Aerobactin minus Fe3 + H+ ⇒ Aerobactin minus Fe3 + H+,
697,ARBTptspp,ARBTptspp,Arbutin + Phosphoenolpyruvate ⇒ Arbutin 6-phosphate + Pyruvate,
698,ARBTtex,ARBTtex,Arbutin ⇒ Arbutin,
699,ARBabcpp,ARBabcpp,L-Arabinose + ATP + H2O ⇒ ADP + L-Arabinose + H+ + Phosphate,
700,ARBt2rpp,ARBt2rpp,L-Arabinose + H+ ⇒ L-Arabinose + H+,
701,ARBt3ipp,ARBt3ipp,L-Arabinose + H+ ⇒ L-Arabinose + H+,
702,ARBtex,ARBtex,L-Arabinose ⇒ L-Arabinose,
703,ARGAGMt7pp,ARGAGMt7pp,Agmatine + L-Arginine ⇒ Agmatine + L-Arginine,
704,ARGDC,ARGDC,L-Arginine + H+ ⇒ Agmatine + CO2,4.1.1.19
705,ARGDCpp,ARGDCpp,L-Arginine + H+ ⇒ Agmatine + CO2,4.1.1.19
706,ARGORNt7pp,ARGORNt7pp,L-Arginine + Ornithine ⇒ L-Arginine + Ornithine,
707,ARGSL,ARGSL,N(omega)-(L-Arginino)succinate ⇒ L-Arginine + Fumarate,4.3.2.1
708,ARGSS,ARGSS,L-Aspartate + ATP + L-Citrulline ⇒ AMP + N(omega)-(L-Arginino)succinate + H+ + Diphosphate,6.3.4.5
709,ARGTRS,ARGTRS,L-Arginine + ATP + TRNA(Arg) ⇒ AMP + L-Arginyl-tRNA(Arg) + Diphosphate,6.1.1.19
710,ARGabcpp,ARGabcpp,L-Arginine + ATP + H2O ⇒ ADP + L-Arginine + H+ + Phosphate,3.6.3.21
711,ARGt3pp,ARGt3pp,L-Arginine + H+ ⇒ L-Arginine + H+,
712,ARGtex,ARGtex,L-Arginine ⇒ L-Arginine,
713,ASAD,ASAD,L-Aspartate 4-semialdehyde + Nicotinamide adenine dinucleotide phosphate + Phosphate ⇒ 4-Phospho-L-aspartate + H+ + Nicotinamide adenine dinucleotide phosphate - reduced,1.2.1.11
714,ASCBPL,ASCBPL,L-ascorbate-6-phosphate + H2O ⇒ 3-keto-L-gulonate-6-phosphate + H+,3.1.1.-
715,ASCBptspp,ASCBptspp,L-Ascorbate + Phosphoenolpyruvate ⇒ L-ascorbate-6-phosphate + Pyruvate,
716,ASCBtex,ASCBtex,L-Ascorbate ⇒ L-Ascorbate,
717,ASNN,ASNN,L-Asparagine + H2O ⇒ L-Aspartate + Ammonium,3.5.1.38
718,ASNNpp,ASNNpp,L-Asparagine + H2O ⇒ L-Aspartate + Ammonium,3.5.1.38
719,ASNS1,ASNS1,L-Aspartate + ATP + L-Glutamine + H2O ⇒ AMP + L-Asparagine + L-Glutamate + H+ + Diphosphate,6.3.5.4
720,ASNS2,ASNS2,L-Aspartate + ATP + Ammonium ⇒ AMP + L-Asparagine + H+ + Diphosphate,6.3.1.1
721,ASNTRS,ASNTRS,L-Asparagine + ATP + TRNA(Asn) ⇒ AMP + L-Asparaginyl-tRNA(Asn) + Diphosphate,6.1.1.22
722,ASNabcpp,ASNabcpp,L-Asparagine + ATP + H2O ⇒ ADP + L-Asparagine + H+ + Phosphate,
723,ASNt2rpp,ASNt2rpp,L-Asparagine + H+ ⇒ L-Asparagine + H+,
724,ASNtex,ASNtex,L-Asparagine ⇒ L-Asparagine,
725,ASO3t8pp,ASO3t8pp,Arsenite + ATP + H2O ⇒ ADP + Arsenite + H+ + Phosphate,3.6.3.16
726,ASO3tex,ASO3tex,Arsenite ⇒ Arsenite,
727,ASP1DC,ASP1DC,L-Aspartate + H+ ⇒ Beta-Alanine + CO2,4.1.1.15
728,ASPCT,ASPCT,L-Aspartate + Carbamoyl phosphate ⇒ N-Carbamoyl-L-aspartate + H+ + Phosphate,2.1.3.2
729,ASPK,ASPK,L-Aspartate + ATP ⇒ 4-Phospho-L-aspartate + ADP,2.7.2.4
730,ASPO3,ASPO3,L-Aspartate + Ubiquinone-8 ⇒ H+ + Iminoaspartate + Ubiquinol-8,
731,ASPO4,ASPO4,L-Aspartate + Menaquinone 8 ⇒ H+ + Iminoaspartate + Menaquinol 8,
732,ASPO5,ASPO5,L-Aspartate + Fumarate ⇒ H+ + Iminoaspartate + Succinate,1.5.99
733,ASPO6,ASPO6,L-Aspartate + O2 ⇒ Hydrogen peroxide + H+ + Iminoaspartate,1.4.3.16
734,ASPT,ASPT,L-Aspartate ⇒ Fumarate + Ammonium,4.3.1.1
735,ASPTA,ASPTA,2-Oxoglutarate + L-Aspartate ⇒ L-Glutamate + Oxaloacetate,2.6.1.1
736,ASPTRS,ASPTRS,L-Aspartate + ATP + TRNA(Asp) ⇒ AMP + L-Aspartyl-tRNA(Asp) + Diphosphate,6.1.1.23
737,ASPabcpp,ASPabcpp,L-Aspartate + ATP + H2O ⇒ ADP + L-Aspartate + H+ + Phosphate,3.6.3.21
738,ASPt2_2pp,ASPt2_2pp,L-Aspartate + 2.0 H+ ⇒ L-Aspartate + 2.0 H+,
739,ASPt2_3pp,ASPt2_3pp,L-Aspartate + 3.0 H+ ⇒ L-Aspartate + 3.0 H+,
740,ASPt2pp_copy1,ASPt2pp_copy1,L-Aspartate + H+ ⇒ L-Aspartate + H+,
741,ASPt2pp_copy2,ASPt2pp_copy2,L-Aspartate + H+ ⇒ L-Aspartate + H+,
742,ASPtex,ASPtex,L-Aspartate ⇒ L-Aspartate,
743,ASR,ASR,Arsenate + 2.0 Reduced glutathione ⇒ Arsenite + Oxidized glutathione + H2O,
744,AST,AST,L-Arginine + Succinyl-CoA ⇒ Coenzyme A + H+ + N2-Succinyl-L-arginine,2.3.1.109
745,ATHRDHr,ATHRDHr,L-Allo-threonine + Nicotinamide adenine dinucleotide phosphate ⇒ L-2-Amino-3-oxobutanoate + H+ + Nicotinamide adenine dinucleotide phosphate - reduced,1.1.1.381
746,ATPHs,ATPHs,ATP + H2O + H+ ⇒ ITP + Ammonium,3.5.4.18
747,ATPM,ATPM,ATP + H2O ⇒ ADP + H+ + Phosphate,3.6.4.9
748,ATPPRT,ATPPRT,ATP + 5-Phospho-alpha-D-ribose 1-diphosphate ⇒ Diphosphate + 1-(5-Phosphoribosyl)-ATP,2.4.2.17
749,ATPS4rpp,ATPS4rpp,ADP + 4.0 H+ + Phosphate ⇒ ATP + H2O + 3.0 H+,3.6.3.14
750,BALAt2pp,BALAt2pp,Beta-Alanine + H+ ⇒ Beta-Alanine + H+,
751,BALAtex,BALAtex,Beta-Alanine ⇒ Beta-Alanine,
752,BETALDHx,BETALDHx,Betaine aldehyde + H2O + Nicotinamide adenine dinucleotide ⇒ Glycine betaine + 2.0 H+ + Nicotinamide adenine dinucleotide - reduced,1.2.1.8
753,BETALDHy,BETALDHy,Betaine aldehyde + H2O + Nicotinamide adenine dinucleotide phosphate ⇒ Glycine betaine + 2.0 H+ + Nicotinamide adenine dinucleotide phosphate - reduced,1.2.1.8
754,BMOCOS,BMOCOS,Molybdenum cofactor + Adenylated molybdopterin ⇒ AMP + Bis-molybdenum cofactor + Cu2+,
755,BMOGDS1,BMOGDS1,Bis-molybdenum cofactor + GTP + H+ ⇒ Bis-molybdopterin mono-guanine dinucleotide + Diphosphate,
756,BMOGDS2,BMOGDS2,Bis-molybdopterin mono-guanine dinucleotide + GTP + H+ ⇒ Bis-molybdopterin guanine dinucleotide + Diphosphate,
757,BPNT,BPNT,"H2O + Adenosine 3',5'-bisphosphate ⇒ AMP + Phosphate",3.1.3.7
758,BSORx,BSORx,D-biotin d-sulfoxide + H+ + Nicotinamide adenine dinucleotide - reduced ⇒ Biotin + H2O + Nicotinamide adenine dinucleotide,
759,BSORy,BSORy,D-biotin d-sulfoxide + H+ + Nicotinamide adenine dinucleotide phosphate - reduced ⇒ Biotin + H2O + Nicotinamide adenine dinucleotide phosphate,1.-.-.-
760,BTNt2ipp,BTNt2ipp,Biotin + H+ ⇒ Biotin + H+,
761,BTNtex,BTNtex,Biotin ⇒ Biotin,
762,BTS5,BTS5,[2Fe-2S] iron-sulfur cluster + S-Adenosyl-L-methionine + Dethiobiotin ⇒ [2Fe-1S] desulfurated iron-sulfur cluster + Biotin + 5'-Deoxyadenosine + H+ + L-Methionine,
763,BUTCT,BUTCT,Acetyl-CoA + Butyrate (n-C4:0) ⇒ Acetate + Butanoyl-CoA,2.8.3.8
764,BUTSO3abcpp,BUTSO3abcpp,ATP + Butanesulfonate + H2O ⇒ ADP + Butanesulfonate + H+ + Phosphate,
765,BUTSO3tex,BUTSO3tex,Butanesulfonate ⇒ Butanesulfonate,
766,BUTt2rpp,BUTt2rpp,Butyrate (n-C4:0) + H+ ⇒ Butyrate (n-C4:0) + H+,
767,BUTtex,BUTtex,Butyrate (n-C4:0) ⇒ Butyrate (n-C4:0),
768,BWCOGDS1,BWCOGDS1,Tungsten bispterin cofactor + GTP + H+ ⇒ Tungsten bispterin cofactor mono-guanine dinucleotide + Diphosphate,
769,BWCOGDS2,BWCOGDS2,Tungsten bispterin cofactor mono-guanine dinucleotide + GTP + H+ ⇒ Tungsten bispterin cofactor guanine dinucleotide + Diphosphate,
770,BWCOS,BWCOS,Adenylated molybdopterin + Tungsten binding cofactor ⇒ AMP + Tungsten bispterin cofactor + Cu2+,
771,CA2t3pp,CA2t3pp,Calcium + H+ ⇒ Calcium + H+,
772,CA2tex,CA2tex,Calcium ⇒ Calcium,
773,CADVtpp,CADVtpp,"1,5-Diaminopentane + H+ + L-Lysine ⇒ 1,5-Diaminopentane + H+ + L-Lysine",
774,CAT,CAT,2.0 Hydrogen peroxide ⇒ 2.0 H2O + O2,1.11.1.6
775,CAt6pp,CAt6pp,Calcium + Sodium ⇒ Calcium + Sodium,
776,CBIAT,CBIAT,ATP + Cobinamide + H+ ⇒ Adenosyl cobinamide + Inorganic triphosphate,2.5.1.17
